区分,内訳／都内在住者（円/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（円/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（円/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,40851,-627,34044,-753,100476,4239
宿泊客／ビジネス目的,49215,-3,48076,-162,122888,6341
日帰り客／観光目的,5411,-93,8949,-36,33075,2952
日帰り客／ビジネス目的,3111,-68,6661,89,35537,-199
