区分,合計,合計対前年増減率(%),内訳／都内在住者,内訳／都内在住者対前年増減率(%),内訳／道府県在住者,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
生産波及効果（百万円）,12891624,7.3,3943485,1.6,6537571,1.7,2410567,41.7
所得効果（百万円）,4757266,7.2,1439183,1,2402423,1,915660,44
雇用効果（人）,602268,7,183113,0.8,304465,1.2,114690,42.4
税収効果（百万円）,453562,13.1,138646,7.1,229955,7.1,84962,49.5
