区分,合計（千人回）,合計対前年増減率(%),内訳／日本在住者（千人回）,内訳／日本在住者対前年増減率(%),内訳／都内在住者（千人回）,内訳／都内在住者対前年増減率(%),内訳／道府県在住者（千人回）,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
観光入込客数,515122,0.5,506248,0.1,261540,-1.3,244708,1.6,8874,30.3
観光入込客数／宿泊客,39421,9.7,32786,6.2,9615,2.6,23171,7.8,6635,31.4
観光入込客数／日帰り客,475701,-0.2,473462,-0.3,251925,-1.4,221537,1,2239,27
