区分,内訳／都内在住者（円/人回）,内訳／都内在住者対前年差,内訳／道府県在住者（円/人回）,内訳／道府県在住者対前年差,内訳／外国在住者（円/人回）,内訳／外国在住者対前年差
宿泊客／観光目的,41478,-707,34797,-1127,96237,3859
宿泊客／ビジネス目的,49218,-3172,48238,1790,116547,2912
日帰り客／観光目的,5504,122,8985,-15,30123,1750
日帰り客／ビジネス目的,3179,9,6573,-213,35736,-625
