区分,合計,合計対前年増減率(%),内訳／都内在住者,内訳／都内在住者対前年増減率(%),内訳／道府県在住者,内訳／道府県在住者対前年増減率(%),内訳／外国在住者（千人回）,内訳／外国在住者対前年増減率(%)
生産波及効果（百万円）,12012724,6,3880878,0.1,6430790,3.7,1701055,35.4
所得効果（百万円）,4439633,6.2,1424247,1.1,2379634,3.7,635752,33
雇用効果（人）,563085,6.7,181699,1.4,300863,4.2,80523,34.9
税収効果（百万円）,401105,9.7,129512,3.7,214759,7.4,56834,40
