測定日,測定位置(高さ m),C21,C22,C23,C24
平成25年 6月26日,1.0,0.09,0.08,0.07,0.09
平成25年 6月19日,1.0,0.09,0.08,0.07,0.08
平成25年 6月12日,1.0,0.08,0.08,0.07,0.08
平成25年 6月5日,1.0,0.09,0.08,0.07,0.09
"平成25年
5月29日",1.0,0.08,0.08,0.07,0.08
"平成25年
5月22日",1.0,0.08,0.07,0.07,0.08
"平成25年
5月15日",1.0,0.08,0.07,0.07,0.08
"平成25年
5月8日",1.0,0.07,0.08,0.07,0.09
"平成25年
5月1日",1.0,0.08,0.07,0.07,0.08
"平成25年
4月23日",1.0,0.07,0.08,0.07,0.08
"平成25年
4月17日",1.0,0.07,0.08,0.07,0.08
平成25年 4月10日,1.0,0.08,0.08,0.07,0.09
平成25年 4月5日,1.0,0.08,0.09,0.08,0.08
