測定日,測定位置,C21,C22,C23,C24
"平成25年
9月25日",高さ  1.0m,0.07,0.07,0.08,0.10
"平成25年
9月18日",高さ  1.0m,0.07,0.08,0.08,0.10
"平成25年
9月11日",高さ  1.0m,0.08,0.08,0.08,0.09
"平成25年
9月4日",高さ  1.0m,0.07,0.08,0.07,0.09
"平成25年
8月28日",高さ  1.0m,0.08,0.08,0.07,0.10
"平成25年
8月21日",高さ  1.0m,0.08,0.08,0.08,0.10
"平成25年
8月14日",高さ  1.0m,0.08,0.08,0.08,0.11
"平成25年
8月7日",高さ  1.0m,0.08,0.08,0.09,0.11
"平成25年
7月31日",高さ  1.0m,0.08,0.09,0.08,0.11
"平成25年
7月24日",高さ  1.0m,0.08,0.09,0.08,0.09
"平成25年
7月17日",高さ  1.0m,0.08,0.10,0.08,0.10
"平成25年
7月10日",高さ  1.0m,0.08,0.09,0.07,0.09
"平成25年
7月3日",高さ  1.0m,0.07,0.08,0.07,0.09
