測定日,測定位置,B1,B2,B3,B4,B5,B6,B7,B8
平成26年 9月24日,高さ  1.0m,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03
平成26年 9月17日,高さ  1.0m,0.03,0.03,0.04,0.03,0.02,0.02,0.03,0.04
平成26年 9月10日,高さ  1.0m,0.03,0.04,0.04,0.03,0.02,0.02,0.02,0.03
平成26年 9月3日,高さ  1.0m,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.03
平成26年 8月27日,高さ  1.0m,0.03,0.04,0.04,0.03,0.02,0.02,0.03,0.04
平成26年 8月20日,高さ  1.0m,0.02,0.03,0.04,0.03,0.02,0.02,0.03,0.04
平成26年 8月13日,高さ  1.0m,0.03,0.03,0.04,0.03,0.02,0.02,0.02,0.04
平成26年 8月6日,高さ  1.0m,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.03
平成26年 7月30日,高さ  1.0m,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.04
平成26年 7月23日,高さ  1.0m,0.02,0.04,0.04,0.03,0.01,0.02,0.03,0.04
平成26年 7月16日,高さ  1.0m,0.03,0.04,0.04,0.04,0.02,0.03,0.03,0.04
平成26年 7月9日,高さ  1.0m,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.04
平成26年 7月2日,高さ  1.0m,0.03,0.04,0.04,0.04,0.02,0.02,0.03,0.04
