測定日,測定位置,B51,B52,B53,B54
"平成25年
9月25日",高さ  1.0m,0.08,0.13,0.13,0.08
"平成25年
9月18日",高さ  1.0m,0.08,0.13,0.12,0.10
"平成25年
9月11日",高さ  1.0m,0.08,0.08,0.09,0.07
"平成25年
9月4日",高さ  1.0m,0.07,0.09,0.08,0.07
"平成25年
8月28日",高さ  1.0m,0.08,0.08,0.08,0.07
