測定日,測定位置(高さ m),Ａ１,Ａ２,Ａ３,Ａ４,Ａ５,Ａ６,Ａ７,Ａ８
"平成25年
6月26日",1.0,0.14,0.14,0.17,0.11,0.14,0.17,0.14,0.12
"平成25年
6月19日",1.0,0.14,0.15,0.17,0.11,0.13,0.18,0.14,0.12
"平成25年
6月12日",1.0,0.14,0.14,0.17,0.11,0.14,0.18,0.15,0.13
"平成25年
6月5日",1.0,0.15,0.15,0.18,0.11,0.14,0.19,0.14,0.12
"平成25年
5月29日",1.0,0.15,0.15,0.18,0.11,0.14,0.19,0.14,0.13
"平成25年
5月22日",1.0,0.15,0.15,0.18,0.11,0.14,0.18,0.14,0.13
"平成25年
5月15日",1.0,0.16,0.14,0.17,0.11,0.13,0.18,0.15,0.13
"平成25年
5月8日",1.0,0.14,0.15,0.19,0.09,0.13,0.18,0.15,0.14
"平成25年
5月1日",1.0,0.15,0.14,0.18,0.11,0.14,0.18,0.15,0.13
"平成25年
4月23日",1.0,0.15,0.13,0.18,0.13,0.14,0.18,0.15,0.14
"平成25年
4月17日",1.0,0.15,0.14,0.18,0.10,0.15,0.18,0.14,0.14
"平成25年
4月10日",1.0,0.14,0.14,0.17,0.11,0.14,0.17,0.13,0.13
"平成25年
4月5日",1.0,0.15,0.14,0.18,0.11,0.14,0.17,0.14,0.14
