測定日,測定位置(高さ m),No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成25年 6月26日,0.5,0.11,0.11,0.12,0.10,0.13,0.12,0.07
平成25年 6月26日,1.0,0.11,0.09,0.11,0.09,0.13,0.12,0.07
平成25年 6月19日,0.5,0.12,0.10,0.11,0.09,0.11,0.13,0.07
平成25年 6月19日,1.0,0.11,0.10,0.11,0.09,0.11,0.12,0.07
平成25年 6月12日,0.5,0.11,0.11,0.12,0.09,0.12,0.12,0.07
平成25年 6月12日,1.0,0.11,0.10,0.11,0.09,0.12,0.12,0.07
平成25年 6月5日,0.5,0.11,0.11,0.12,0.09,0.11,0.13,0.07
平成25年 6月5日,1.0,0.11,0.10,0.11,0.08,0.11,0.13,0.07
平成25年 5月29日,0.5,0.12,0.11,0.11,0.09,0.11,0.13,0.07
平成25年 5月29日,1.0,0.11,0.10,0.11,0.08,0.11,0.13,0.07
平成25年 5月22日,0.5,0.12,0.10,0.12,0.11,0.11,0.14,0.07
平成25年 5月22日,1.0,0.11,0.09,0.11,0.10,0.11,0.14,0.07
平成25年 5月15日,0.5,0.12,0.10,0.11,0.09,0.12,0.14,0.07
平成25年 5月15日,1.0,0.11,0.10,0.11,0.09,0.11,0.13,0.07
"平成25年
5月8日",0.5,0.12,0.11,0.11,0.09,0.12,0.14,0.07
"平成25年
5月8日",1.0,0.11,0.10,0.11,0.09,0.12,0.14,0.06
平成25年 5月1日,0.5,0.11,0.10,0.12,0.09,0.12,0.14,0.07
平成25年 5月1日,1.0,0.11,0.09,0.11,0.08,0.12,0.13,0.07
平成25年 4月23日,0.5,0.11,0.11,0.11,0.10,0.12,0.15,0.07
平成25年 4月23日,1.0,0.10,0.10,0.11,0.09,0.12,0.14,0.07
平成25年 4月17日,0.5,0.11,0.10,0.12,0.09,0.12,0.14,0.07
平成25年 4月17日,1.0,0.11,0.10,0.12,0.09,0.11,0.14,0.07
平成25年 4月10日,0.5,0.12,0.11,0.12,0.09,0.12,0.15,0.06
平成25年 4月10日,1.0,0.12,0.10,0.11,0.09,0.12,0.14,0.07
平成25年 4月5日,0.5,0.12,0.11,0.12,0.10,0.12,0.15,0.07
平成25年 4月5日,1.0,0.11,0.11,0.11,0.10,0.13,0.15,0.06
,,,,,,,,
