測定日,測定位置,Ｂ41,Ｂ42,Ｂ43,Ｂ44
"平成25年
8月21日",高さ  1.0m,0.15,0.12,0.14,0.12
"平成25年
8月14日",高さ  1.0m,0.14,0.12,0.13,0.11
"平成25年
8月7日",高さ  1.0m,0.14,0.12,0.13,0.11
"平成25年
7月31日",高さ  1.0m,0.14,0.09,0.11,0.10
"平成25年
7月24日",高さ  1.0m,0.11,0.08,0.10,0.10
"平成25年
7月17日",高さ  1.0m,0.10,0.08,0.10,0.11
"平成25年
7月10日",高さ  1.0m,0.11,0.08,0.09,0.10
"平成25年
7月3日",高さ  1.0m,0.08,0.07,0.09,0.08
