測定日,測定位置,D41,D42,D43,D44
平成25年 9月25日,高さ  1.0m,0.10,0.07,0.11,0.09
平成25年 9月18日,高さ  1.0m,0.11,0.07,0.12,0.08
平成25年 9月11日,高さ  1.0m,0.11,0.07,0.10,0.08
平成25年 9月4日,高さ  1.0m,0.11,0.07,0.08,0.08
平成25年 8月28日,高さ  1.0m,0.12,0.06,0.08,0.08
平成25年 8月21日,高さ  1.0m,0.12,0.07,0.09,0.07
平成25年 8月14日,高さ  1.0m,0.12,0.07,0.08,0.09
"平成25年
8月7日",高さ  1.0m,0.13,0.08,0.09,0.08
"平成25年
7月31日",高さ  1.0m,0.11,0.08,0.09,0.09
平成25年 7月24日,高さ  1.0m,0.11,0.08,0.08,0.09
平成25年 7月17日,高さ  1.0m,0.13,0.07,0.08,0.10
平成25年 7月10日,高さ  1.0m,0.12,0.07,0.08,0.09
平成25年 7月3日,高さ  1.0m,0.13,0.07,0.07,0.08
