測定日,測定位置(高さ m),No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成26年 9月24日,0.5,0.06,0.06,0.06,0.05,0.04,0.03,0.03
平成26年 9月24日,1.0,0.06,0.05,0.05,0.05,0.04,0.04,0.03
平成26年 9月17日,0.5,0.06,0.06,0.06,0.05,0.04,0.05,0.03
平成26年 9月17日,1.0,0.05,0.05,0.06,0.05,0.05,0.04,0.03
平成26年 9月10日,0.5,0.07,0.06,0.06,0.05,0.05,0.03,0.03
平成26年 9月10日,1.0,0.06,0.05,0.06,0.05,0.04,0.03,0.04
平成26年 9月3日,0.5,0.07,0.06,0.06,0.05,0.04,0.03,0.03
平成26年 9月3日,1.0,0.06,0.06,0.06,0.04,0.04,0.03,0.03
平成26年 8月27日,0.5,0.06,0.06,0.06,0.06,0.04,0.05,0.03
平成26年 8月27日,1.0,0.06,0.06,0.06,0.05,0.05,0.05,0.03
平成26年 8月20日,0.5,0.07,0.06,0.07,0.06,0.04,0.05,0.03
平成26年 8月20日,1.0,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 8月13日,0.5,0.06,0.06,0.07,0.06,0.04,0.04,0.03
平成26年 8月13日,1.0,0.06,0.05,0.06,0.05,0.04,0.04,0.03
平成26年 8月6日,0.5,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 8月6日,1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成26年 7月30日,0.5,0.07,0.06,0.06,0.06,0.05,0.04,0.03
平成26年 7月30日,1.0,0.06,0.06,0.06,0.05,0.04,0.05,0.03
平成26年 7月23日,0.5,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 7月23日,1.0,0.05,0.06,0.06,0.05,0.04,0.03,0.03
平成26年 7月16日,0.5,0.08,0.07,0.07,0.07,0.05,0.04,0.03
平成26年 7月16日,1.0,0.07,0.06,0.07,0.05,0.05,0.04,0.03
平成26年 7月9日,0.5,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成26年 7月9日,1.0,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 7月2日,0.5,0.07,0.06,0.07,0.06,0.05,0.04,0.04
平成26年 7月2日,1.0,0.07,0.06,0.07,0.05,0.05,0.04,0.03
