測定日,測定位置(高さ m),D41,D42,D43,D44,,
平成25年 10月17日,1.0,0.08,0.04,0.05,0.05,,
平成25年 10月9日,1.0,0.05,0.04,0.06,0.05,,
平成25年 10月2日,1.0,0.05,0.04,0.05,0.04,,
,,,,,,,
,,,,,,,
,,,,,,,
