測定日,測定位置,No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成25年 9月25日,高さ  0.5m,0.11,0.12,0.11,0.09,0.11,0.13,0.08
平成25年 9月25日,高さ  1.0m,0.11,0.12,0.11,0.09,0.11,0.13,0.07
平成25年 9月18日,高さ  0.5m,0.12,0.12,0.11,0.10,0.11,0.12,0.07
平成25年 9月18日,高さ  1.0m,0.12,0.12,0.11,0.10,0.11,0.12,0.06
平成25年 9月11日,高さ  0.5m,0.12,0.12,0.11,0.10,0.11,0.14,0.06
平成25年 9月11日,高さ  1.0m,0.12,0.12,0.11,0.09,0.11,0.13,0.06
平成25年 9月4日,高さ  0.5m,0.12,0.12,0.11,0.09,0.12,0.13,0.07
平成25年 9月4日,高さ  1.0m,0.11,0.12,0.11,0.09,0.11,0.13,0.07
平成25年 8月28日,高さ  0.5m,0.11,0.10,0.12,0.10,0.11,0.14,0.07
平成25年 8月28日,高さ  1.0m,0.11,0.10,0.12,0.09,0.11,0.13,0.07
平成25年 8月21日,高さ  0.5m,0.12,0.12,0.12,0.10,0.11,0.15,0.07
平成25年 8月21日,高さ  1.0m,0.11,0.11,0.12,0.09,0.12,0.14,0.07
平成25年 8月14日,高さ  0.5m,0.12,0.12,0.12,0.10,0.11,0.13,0.07
平成25年 8月14日,高さ  1.0m,0.11,0.11,0.11,0.10,0.11,0.12,0.07
平成25年 8月7日,高さ  0.5m,0.11,0.11,0.12,0.10,0.11,0.16,0.07
平成25年 8月7日,高さ  1.0m,0.11,0.11,0.12,0.09,0.11,0.16,0.07
平成25年 7月31日,高さ  0.5m,0.12,0.11,0.12,0.11,0.11,0.16,0.07
平成25年 7月31日,高さ  1.0m,0.12,0.10,0.11,0.10,0.11,0.15,0.07
平成25年 7月24日,高さ  0.5m,0.12,0.11,0.11,0.10,0.11,0.15,0.08
平成25年 7月24日,高さ  1.0m,0.12,0.10,0.11,0.09,0.11,0.14,0.07
平成25年 7月17日,高さ  0.5m,0.12,0.12,0.12,0.10,0.13,0.17,0.07
平成25年 7月17日,高さ  1.0m,0.12,0.11,0.11,0.09,0.12,0.15,0.07
平成25年 7月10日,高さ  0.5m,0.12,0.12,0.12,0.10,0.12,0.12,0.07
平成25年 7月10日,高さ  1.0m,0.11,0.10,0.11,0.09,0.12,0.12,0.07
平成25年 7月3日,高さ  0.5m,0.12,0.11,0.12,0.10,0.12,0.14,0.06
平成25年 7月3日,高さ  1.0m,0.12,0.11,0.12,0.10,0.12,0.15,0.06
