試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),BﾌﾞﾛｯｸB1ポンプ井浸出液(7),BﾌﾞﾛｯｸB2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管(北)浸出液(9),Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)
平成26年12月29日((4)は、12月28日採取）,―,不検出 (<6.9)／不検出(<5.7),―,不検出(<5.0)／不検出(<4.5),不検出 (<6.8)／不検出(<6.5),―,不検出(<5.8)／不検出(<6.0),―,―,不検出 (<6.4)／不検出(<5.8)
平成26年12月22日,不検出 (<5.9)／不検出(<4.9),―,134Cs:不検出（<5.9） ／137Cs: 9.7／合計:16,―,―,不検出 (<6.5)／不検出(<6.1),―,不検出 (<6.8)／不検出(<6.4),不検出 (<6.7)／不検出(<4.3),―
平成26年12月15日((4)は、12月14日採取）,―,不検出 (<6.1)／不検出(<5.8),―,不検出 (<5.9)／不検出(<6.0),不検出(<7.0)／不検出(<5.8),―,不検出 (<6.5)／不検出(<6.4),―,―,不検出 (<6.3)／不検出(<6.0)
平成26年12月8日,不検出 (<5.4)／不検出(<6.5),―,134Cs:不検出（<5.7） ／137Cs:11／合計:17,―,―,不検出 (<6.9)／不検出(<7.0),―,不検出(<5.5)／不検出(<8.1),不検出 (<7.6)／不検出(<6.6),―
平成26年12月1日,―,不検出(<5.2)／不検出(<7.4),―,不検出(<7.1)／不検出(<6.4),不検出(<7.0)／不検出(<6.2),―,不検出(<5.5)／不検出(<8.1),―,―,不検出 (<6.3)／不検出(<5.3)
平成26年11月24日,不検出 (<7.3)／不検出(<6.5),―,134Cs:不検出（<5.4） ／137Cs:10／合計:15,―,―,不検出 (<6.0)／不検出(<5.9),―,不検出(<5.5)／不検出(<6.6),不検出 (<6.9)／不検出(<5.9),―
平成26年11月17日,―,不検出 (<6.2)／不検出(<6.0),―,不検出 (<6.8)／不検出(<6.3),不検出(<5.8)／不検出(<5.7),―,不検出(<5.8)／不検出(<7.0),―,―,不検出(<5.7)／不検出(<5.9)
平成26年11月10日,不検出(<5.7)／不検出(<6.9),―,134Cs:不検出（<4.9） ／137Cs:8.7／合計:14,―,―,不検出(<8.1)／不検出(<6.5),―,不検出 (<6.8)／不検出(<7.7),不検出(<7.0)／不検出(<4.9),―
平成26年11月3日((4)は、11月2日採取）,―,不検出 (<6.6)／不検出(<5.8),―,不検出 (<6.4)／不検出(<5.6),不検出(<5.7)／不検出(<5.2),―,不検出(<5.7)／不検出(<7.1),―,―,不検出 (<6.6)／不検出(<6.2)
平成26年10月27日,不検出 (<7.4)／不検出(<5.4),―,134Cs:不検出（<6.7）／137Cs:8.7／合計:15,―,―,不検出(<5.5)／不検出(<5.7),―,不検出(<7.5)／不検出(<5.4),不検出 (<6.2)／不検出(<6.2),―
平成26年10月20日,―,不検出 (<6.2)／不検出(<6.5),―,不検出 (<5.6)／不検出(<6.2),不検出 (<6.8)／不検出(<5.8),―,不検出 (<6.2)／不検出(<5.4),―,―,不検出(<5.7)／不検出(<7.1)
平成26年10月13日,不検出 (<6.1)／不検出(<5.4),―,134Cs:不検出（<5.0）／137Cs:7.3／合計:12,―,―,不検出 (<6.4)／不検出(<6.5),―,不検出 (<6.1)／不検出(<6.1),不検出 (<5.4)／不検出(<6.5),―
平成26年10月6日((4)は、10月5日採取）,―,不検出 (<6.9)／不検出(<6.9),―,不検出 (<6.5)／不検出(<5.4),不検出(<5.7)／不検出(<5.8),―,不検出 (<6.6)／不検出(<6.8),―,―,不検出 (<6.2)／不検出(<5.8)
平成26年9月29日,不検出(<8.1)／不検出(<6.6),―,134Cs:5.6／137Cs:15／合計:21,―,―,不検出(<5.8)／不検出(<5.5),―,不検出 (<6.5)／不検出(<6.6),不検出 (<5.3)／不検出(<6.0),―
