測定日,測定位置(高さ m),C20
平成26年 3月26日,1.0,0.04
平成26年 3月19日,1.0,0.04
平成26年 3月12日,1.0,0.03
平成26年 3月5日,1.0,0.04
平成26年 2月26日,1.0,0.03
平成26年 2月19日,1.0,0.04
平成26年 2月12日,1.0,0.04
平成26年 2月5日,1.0,0.04
平成26年 1月29日,1.0,0.04
平成26年 1月22日,1.0,0.04
平成26年 1月15日,1.0,0.04
平成26年 1月8日,1.0,0.04
