測定日,測定位置(高さ m),No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成25年 12月30日,0.5,0.08,0.08,0.07,0.06,0.06,0.05,0.04
平成25年 12月30日,1.0,0.07,0.06,0.06,0.06,0.05,0.05,0.03
平成25年 12月25日,0.5,0.07,0.07,0.08,0.06,0.06,0.06,0.04
平成25年 12月25日,1.0,0.06,0.06,0.07,0.06,0.05,0.06,0.04
平成25年 12月18日,0.5,0.07,0.07,0.07,0.07,0.05,0.06,0.03
平成25年 12月18日,1.0,0.07,0.06,0.07,0.06,0.05,0.05,0.03
平成25年 12月11日,0.5,0.07,0.07,0.07,0.07,0.06,0.06,0.04
平成25年 12月11日,1.0,0.07,0.06,0.06,0.06,0.06,0.06,0.03
平成25年 12月 4日,0.5,0.08,0.07,0.08,0.07,0.06,0.08,0.04
平成25年 12月 4日,1.0,0.08,0.07,0.07,0.06,0.06,0.07,0.03
平成25年 11月27日,0.5,0.08,0.07,0.07,0.07,0.05,0.09,0.04
平成25年 11月27日,1.0,0.07,0.06,0.06,0.06,0.06,0.08,0.04
平成25年 11月20日,0.5,0.08,0.07,0.08,0.07,0.06,0.08,0.04
平成25年 11月20日,1.0,0.08,0.07,0.07,0.07,0.06,0.07,0.04
平成25年 11月13日,0.5,0.08,0.07,0.08,0.06,0.07,0.08,0.04
平成25年 11月13日,1.0,0.07,0.07,0.07,0.06,0.05,0.07,0.04
平成25年 11月6日,0.5,0.09,0.07,0.09,0.07,0.06,0.07,0.04
平成25年 11月6日,1.0,0.08,0.07,0.08,0.06,0.06,0.06,0.04
平成25年 10月30日,0.5,0.08,0.08,0.08,0.07,0.06,0.08,0.04
平成25年 10月30日,1.0,0.07,0.06,0.07,0.06,0.06,0.07,0.04
平成25年 10月23日,0.5,0.09,0.08,0.09,0.08,0.07,0.06,0.04
平成25年 10月23日,1.0,0.08,0.07,0.08,0.07,0.06,0.05,0.05
平成25年 10月17日,0.5,0.10,0.08,0.09,0.08,0.06,0.06,0.04
平成25年 10月17日,1.0,0.09,0.07,0.08,0.06,0.06,0.05,0.05
平成25年 10月9日,0.5,0.08,0.07,0.09,0.07,0.06,0.05,0.04
平成25年 10月9日,1.0,0.08,0.07,0.07,0.06,0.06,0.06,0.04
平成25年 10月2日,0.5,0.07,0.07,0.08,0.07,0.06,0.05,0.03
平成25年 10月2日,1.0,0.07,0.07,0.07,0.07,0.06,0.05,0.04
