測定日,測定位置(高さ m),D0,D20,,,,
平成25年 10月17日,1.0,0.06,0.06,,,,
平成25年 10月9日,1.0,0.06,0.05,,,,
平成25年 10月2日,1.0,0.05,0.06,,,,
,,,,,,,
,,,,,,,
,,,,,,,
