測定日,測定位置(高さ m),No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成26年 6月25日,0.5,0.07,0.05,0.07,0.06,0.05,0.04,0.03
平成26年 6月25日,1.0,0.06,0.06,0.07,0.05,0.04,0.04,0.04
平成26年 6月18日,0.5,0.07,0.06,0.07,0.06,0.04,0.04,0.03
平成26年 6月18日,1.0,0.06,0.05,0.07,0.05,0.05,0.04,0.03
平成26年 6月11日,0.5,0.07,0.07,0.07,0.05,0.04,0.03,0.03
平成26年 6月11日,1.0,0.06,0.05,0.06,0.05,0.04,0.04,0.03
平成26年 6月4日,0.5,0.06,0.06,0.07,0.06,0.05,0.05,0.03
平成26年 6月4日,1.0,0.06,0.06,0.07,0.05,0.05,0.05,0.03
平成26年 5月28日,0.5,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 5月28日,1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.04
平成26年 5月21日,0.5,0.08,0.07,0.08,0.07,0.05,0.04,0.04
平成26年 5月21日,1.0,0.07,0.07,0.07,0.06,0.05,0.05,0.04
平成26年 5月14日,0.5,0.07,0.06,0.06,0.05,0.05,0.04,0.03
平成26年 5月14日,1.0,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 5月7日,0.5,0.07,0.06,0.07,0.06,0.05,0.05,0.03
平成26年 5月7日,1.0,0.06,0.06,0.06,0.05,0.05,0.05,0.03
平成26年 4月30日,0.5,0.06,0.06,0.06,0.05,0.04,0.05,0.03
平成26年 4月30日,1.0,0.06,0.06,0.06,0.05,0.04,0.04,0.03
平成26年 4月23日,0.5,0.06,0.07,0.07,0.05,0.05,0.04,0.03
平成26年 4月23日,1.0,0.06,0.06,0.06,0.05,0.05,0.04,0.03
平成26年 4月16日,0.5,0.07,0.06,0.07,0.06,0.05,0.04,0.04
平成26年 4月16日,1.0,0.07,0.06,0.07,0.05,0.05,0.05,0.04
平成26年 4月9日,0.5,0.07,0.06,0.07,0.06,0.05,0.04,0.03
平成26年 4月9日,1.0,0.06,0.06,0.07,0.05,0.05,0.05,0.03
平成26年 4月2日,0.5,0.06,0.06,0.07,0.06,0.05,0.05,0.04
平成26年 4月2日,1.0,0.07,0.06,0.07,0.05,0.05,0.05,0.03
