測定日,測定位置(高さ m),Ａ１,Ａ２,Ａ３,Ａ４,Ａ５,Ａ６,Ａ７,Ａ８
平成26年 9月24日,1.0,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.04
平成26年 9月17日,1.0,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03
平成26年 9月10日,1.0,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03
平成26年 9月3日,1.0,0.05,0.03,0.03,0.03,0.03,0.04,0.03,0.03
平成26年 8月27日,1.0,0.06,0.03,0.04,0.03,0.03,0.04,0.04,0.04
平成26年 8月20日,1.0,0.05,0.03,0.03,0.03,0.03,0.05,0.03,0.04
平成26年 8月13日,1.0,0.05,0.03,0.03,0.03,0.04,0.04,0.04,0.04
平成26年 8月6日,1.0,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04
平成26年 7月30日,1.0,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04
平成26年 7月23日,1.0,0.05,0.04,0.04,0.02,0.02,0.05,0.04,0.04
平成26年 7月16日,1.0,0.05,0.03,0.03,0.02,0.03,0.04,0.04,0.03
平成26年 7月9日,1.0,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.03
平成26年 7月2日,1.0,0.05,0.04,0.04,0.03,0.03,0.04,0.04,0.04
