測定日,測定位置(高さ m),Ａ１,Ａ２,Ａ３,Ａ４,Ａ５,Ａ６,Ａ７,Ａ８
平成26年 3月26日,1.0,0.06,0.04,0.04,0.03,0.03,0.05,0.04,0.04
平成26年 3月19日,1.0,0.06,0.05,0.05,0.03,0.03,0.05,0.04,0.04
平成26年 3月12日,1.0,0.06,0.04,0.05,0.03,0.03,0.05,0.04,0.04
平成26年 3月5日,1.0,0.05,0.04,0.04,0.03,0.03,0.05,0.05,0.04
平成26年 2月26日,1.0,0.05,0.05,0.04,0.03,0.03,0.05,0.04,0.04
平成26年 2月19日,1.0,0.06,0.05,0.04,0.03,0.03,0.05,0.05,0.04
平成26年 2月12日,1.0,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.04
平成26年 2月5日,1.0,0.05,0.04,0.05,0.04,0.03,0.05,0.04,0.04
平成26年 1月29日,1.0,0.06,0.05,0.04,0.04,0.03,0.05,0.05,0.04
平成26年 1月22日,1.0,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.04
平成26年 1月15日,1.0,0.07,0.05,0.04,0.03,0.03,0.05,0.05,0.04
平成26年 1月8日,1.0,0.06,0.05,0.05,0.04,0.04,0.05,0.05,0.04
