試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),Bﾌﾞﾛｯｸ B1ポンプ井浸出液(7),Bﾌﾞﾛｯｸ B2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管(北)浸出液(9),Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)
平成26年6月23日,不検出 (<5.6)／不検出(<6.7),―,134Cs:不検出 (<6.1) ／137Cs:7.4／合計:14,―,―,不検出 (<6.4)／不検出(<7.2),―,不検出 (<5.3)／不検出(<5.2),不検出 (<6.3)／不検出(<7.1),―
平成26年6月16日,―,不検出 (<4.8)／不検出(<7.4),―,不検出 (<6.5)／不検出(<6.8),不検出 (<7.3)／不検出(<8.1),―,不検出 (<6.5)／不検出(<6.8),―,―,不検出 (<5.6)／不検出(<6.9)
平成26年6月9日,不検出 (<7.4)／不検出(<6.9),―,不検出 (<6.6)／不検出(<6.9),―,―,不検出 (<7.7)／不検出(<6.2),―,不検出 (<6.6)／不検出(<7.2),不検出 (<7.5)／不検出(<7.5),―
平成26年6月2日((4)は、6月1日採取）,―,不検出 (<5.8)／不検出(<5.6),―,不検出 (<5.4)／不検出(<5.1),不検出 (<6.1)／不検出(<6.4),―,不検出 (<7.8)／不検出(<7.2),―,―,不検出 (<5.2)／不検出(<5.5)
平成26年5月26日,不検出 (<7.6)／不検出(<7.6),―,134Cs:不検出 (<5.7) ／137Cs:8.4／合計:14,―,―,不検出 (<7.2)／不検出(<7.1),―,不検出 (<6.7)／不検出(<6.4),不検出 (<7.1)／不検出(<5.1),―
平成26年5月19日((4)は、5月18日採取）,―,不検出 (<8.0)／不検出(<7.2),―,不検出 (<5.6)／不検出(<6.3),不検出 (<6.4)／不検出(<7.1),―,不検出 (<6.5)／不検出(<5.5),―,―,不検出 (<7.7)／不検出(<6.9)
平成26年5月12日,不検出 (<4.9)／不検出(<5.9),―,不検出 (<5.4)／不検出(<6.5),―,―,不検出 (<6.4)／不検出(<5.9),―,不検出 (<7.5)／不検出(<5.6),不検出 (<7.1)／不検出(<7.7),―
平成26年5月5日((4)は、5月4日採取）,―,不検出 (<6.8)／不検出(<6.9),―,不検出 (<6.3)／不検出(<6.9),不検出 (<7.2)／不検出(<7.7),―,不検出 (<5.5)／不検出(<7.1),―,―,不検出 (<4.6)／不検出(<7.2)
平成26年4月28日,不検出 (<7.7)／不検出(<6.9),―,134Cs:不検出 (<6.3) ／137Cs:7.7／合計:14,―,―,不検出 (<7.0)／不検出(<5.8),―,不検出 (<6.6)／不検出(<7.6),不検出 (<7.2)／不検出(<5.2),―
平成26年4月21日,―,不検出 (<5.4)／不検出(<6.0),―,不検出 (<7.0)／不検出(<6.6),不検出 (<6.3)／不検出(<5.8),―,不検出 (<5.5)／不検出(<6.4),―,―,不検出 (<6.4)／不検出(<6.9)
平成26年4月14日,不検出 (<7.7)／不検出(<7.1),―,不検出 (<7.0)／不検出(<6.6),―,―,不検出 (<6.0)／不検出(<8.4),―,不検出 (<7.3)／不検出(<5.6),不検出 (<6.5)／不検出(<6.2),―
平成26年4月7日((4)は、4月6日採取）,―,不検出 (<7.2)／不検出(<5.4),―,不検出 (<7.6)／不検出(<6.3),不検出 (<7.5)／不検出(<6.9),―,不検出 (<7.0)／不検出(<7.1),―,―,不検出 (<7.3)／不検出(<6.4)
平成26年3月31日,不検出 (<6.6)／不検出(<7.5),―,134Cs:不検出 (<6.9) ／137Cs:13／合計:20,―,―,不検出 (<7.5)／不検出(<7.6),―,不検出 (<7.9)／不検出(<8.0),不検出 (<6.5)／不検出(<7.1),―
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
