測定日,測定位置(高さ m),B31,B32,B33,B34
"平成25年
6月26日",1.0,0.11,0.09,0.10,0.12
"平成25年
6月19日",1.0,0.11,0.10,0.10,0.10
"平成25年
6月12日",1.0,0.11,0.10,0.10,0.11
"平成25年
6月5日",1.0,0.11,0.12,0.11,0.11
"平成25年
5月29日",1.0,0.10,0.11,0.09,0.10
"平成25年
5月22日",1.0,0.11,0.11,0.10,0.11
"平成25年
5月15日",1.0,0.11,0.11,0.10,0.11
"平成25年
5月8日",1.0,0.11,0.11,0.10,0.12
"平成25年
5月1日",1.0,0.10,0.11,0.10,0.11
"平成25年
4月23日",1.0,0.11,0.10,0.10,0.10
"平成25年
4月17日",1.0,0.11,0.10,0.09,0.10
"平成25年
4月10日",1.0,0.10,0.10,0.09,0.10
"平成25年
4月5日",1.0,0.11,0.11,0.10,0.12
