測定日,測定位置,No.1中防外側,No.2中防外側,No.3新海面,No.4新海面,No.5中防外側,No.6中防外側,No.7中防庁舎
平成27年 3月25日,高さ  0.5m,0.08,0.07,0.07,0.06,0.05,0.06,0.04
平成27年 3月25日,高さ  1.0m,0.07,0.07,0.07,0.05,0.05,0.06,0.04
平成27年 3月18日,高さ  0.5m,0.07,0.07,0.07,0.06,0.05,0.05,0.03
平成27年 3月18日,高さ  1.0m,0.07,0.06,0.07,0.06,0.05,0.05,0.04
平成27年 3月11日,高さ  0.5m,0.07,0.07,0.07,0.07,0.05,0.06,0.04
平成27年 3月11日,高さ  1.0m,0.07,0.06,0.07,0.06,0.04,0.05,0.03
平成27年 3月4日,高さ  0.5m,0.07,0.07,0.07,0.07,0.05,0.05,0.03
平成27年 3月4日,高さ  1.0m,0.07,0.07,0.06,0.06,0.05,0.04,0.04
平成27年 2月25日,高さ  0.5m,0.07,0.07,0.07,0.06,0.04,0.05,0.04
平成27年 2月25日,高さ  1.0m,0.06,0.06,0.06,0.06,0.05,0.05,0.04
平成27年 2月18日,高さ  0.5m,0.08,0.07,0.06,0.07,0.05,0.05,0.04
平成27年 2月18日,高さ  1.0m,0.07,0.06,0.07,0.05,0.05,0.05,0.04
平成27年 2月10日,高さ  0.5m,0.07,0.07,0.07,0.06,0.05,0.05,0.03
平成27年 2月10日,高さ  1.0m,0.07,0.06,0.07,0.06,0.05,0.05,0.04
平成27年 2月4日,高さ  0.5m,0.07,0.07,0.07,0.06,0.05,0.05,0.04
平成27年 2月4日,高さ  1.0m,0.06,0.07,0.07,0.05,0.04,0.05,0.03
平成27年 1月28日,高さ  0.5m,0.08,0.08,0.08,0.08,0.05,0.06,0.04
平成27年 1月28日,高さ  1.0m,0.07,0.07,0.08,0.06,0.05,0.06,0.04
平成27年 1月21日,高さ  0.5m,0.08,0.07,0.08,0.08,0.05,0.06,0.04
平成27年 1月21日,高さ  1.0m,0.07,0.07,0.07,0.06,0.05,0.06,0.04
平成27年 1月14日,高さ  0.5m,0.07,0.06,0.07,0.06,0.04,0.05,0.04
平成27年 1月14日,高さ  1.0m,0.06,0.06,0.07,0.05,0.04,0.05,0.04
平成27年 1月7日,高さ  0.5m,0.07,0.07,0.07,0.06,0.05,0.06,0.04
平成27年 1月7日,高さ  1.0m,0.07,0.06,0.07,0.05,0.05,0.05,0.04
,,,,,,,,
,,,,,,,,
,,,,,,,,
