試料採取日,第一排水処理場処理水(1),第三排水処理場処理水(2),第一排水処理場脱水汚泥(3),第三排水処理場脱水汚泥(4),外側11号ポンプ井浸出液(5),外側20号ポンプ井浸出液(6),BﾌﾞﾛｯｸB1ポンプ井浸出液(7),BﾌﾞﾛｯｸB2ポンプ井浸出液(8),Bﾌﾞﾛｯｸ集導管浸出液(9),Bブロック中央ポンプ井(10)
平成25年6月24日,不検出(<8.4)／不検出(<8.9),不検出(<9.4)／不検出(<8.7),134Cs:不検出(<7.8) ／137Cs:11.8／合計:20,―,―,不検出(<8.8)／不検出(<9.6),―,不検出(<9.2)／不検出(<7.9),水なし,―
平成25年6月17日,不検出(<9.5)／不検出(<8.7),不検出(<8.0)／不検出(<8.2),―,不検出(<7.4)／不検出(<7.0),不検出(<9.1)／不検出(<8.9),―,不検出(<10.2)／不検出(<8.5),―,―,不検出(<6.6)／不検出(<8.2)
平成25年6月10日,不検出 (<8.8)／不検出(<6.9),不検出 (<8.4)／不検出(<6.5),134Cs:不検出(<9.1) ／137Cs:11.6／合計:21,―,―,不検出 (<7.8)／不検出(<8.0),―,不検出 (<9.1)／不検出(<8.8),不検出 (<7.6)／不検出(<7.7),―
平成25年6月3日((4)は、6月2日採取）,不検出(<8.2)／不検出(<8.8),不検出(<8.1)／不検出(<9.1),―,不検出(<7.5)／不検出(<8.0),不検出(<6.5)／不検出(<7.9),―,不検出(<10.7)／不検出(<8.1),―,―,不検出(<9.3)／不検出(<8.4)
平成25年5月27日,不検出 (<9.2)／不検出(<8.8),不検出 (<8.0)／不検出(<8.2),134Cs:不検出 (<7.9) ／137Cs:11.7／合計:20,―,―,不検出 (<9.2)／不検出(<10.0),―,不検出 (<8.8)／不検出(<8.2),不検出 (<8.0)／不検出(<9.3),―
平成25年5月20日,不検出 (<9.2)／不検出(<9.2),不検出 (<9.4)／不検出(<9.7),―,不検出 (<8.6)／不検出(<9.5),不検出 (<7.9)／不検出(<8.0),―,不検出 (<9.2)／不検出(<10.0),―,―,不検出 (<8.7)／不検出(<8.9)
平成25年5月13日,不検出 (<8.6)／不検出(<7.6),不検出 (<8.0)／不検出(<7.2),不検出 (<6.7)／不検出(<6.9),―,―,不検出 (<6.7)／不検出(<8.0),―,不検出 (<9.3)／不検出(<8.5),不検出 (<9.0)／不検出(<8.4),―
平成25年5月6日((4)は、5月5日採取）,不検出(<8.5)／不検出(<8.9),不検出(<9.0)／不検出(<9.7),―,不検出(<7.8)／不検出(<6.0),不検出(<8.1)／不検出(<8.1),―,不検出(<8.5)／不検出(<8.3),―,―,不検出(<8.8)／不検出(<7.7)
平成25年4月29日,不検出 (<9.7)／不検出(<7.3),不検出 (<8.7)／不検出(<9.8),不検出 (<5.0)／不検出(<5.9),―,―,不検出 (<9.8)／不検出(<9.1),―,不検出 (<8.5)／不検出(<6.9),不検出 (<9.1)／不検出(<8.6),―
平成25年4月22日,不検出 (<7.9)／不検出(<7.8),不検出 (<9.3)／不検出(<8.2),―,不検出 (<7.1)／不検出(<7.7),不検出 (<8.2)／不検出(<9.0),―,不検出 (<7.6)／不検出(<8.8),―,―,不検出 (<9.8)／不検出(<8.1)
平成25年4月15日,不検出 (<7.9)／不検出(<7.7),不検出 (<8.9)／不検出(<8.9),不検出 (<7.4)／不検出(<7.1),―,―,不検出 (<10.1)／不検出(<7.5),―,不検出 (<7.2)／不検出(<7.8),不検出 (<9.5)／不検出(<8.0),―
平成25年4月8日((4)は、4月7日採取）,不検出 (<8.3)／不検出(<7.8),不検出 (<9.1)／不検出(<7.4),―,不検出 (<7.6)／不検出(<8.2),不検出 (<8.4)／不検出(<9.3),―,不検出 (<8.8)／不検出(<8.4),―,―,不検出 (<7.8)／不検出(<7.2)
平成25年4月1日,不検出 (<8.3)／不検出(<8.0),不検出 (<10.1)／不検出(<7.5),134Cs:不検出 (<7.2)／137Cs:7.7／合計:15,―,―,不検出 (<8.6)／不検出(<7.6),―,不検出 (<8.7)／不検出(<7.8),不検出 (<7.5)／不検出(<8.9),―
