年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
年・年度平均指数／平成8年平均,1996,,98.6,99,99.3,97.8,99.4,97,106.9,97.7,90.6,101.5,93.7,100.1,97.2
年・年度平均指数／平成9年平均,1997,,100.4,100.6,101.1,99.3,100.8,101.6,105.9,99.9,94.8,101.5,95.7,101.6,98.7
年・年度平均指数／平成10年平均,1998,,101,101.3,102.5,99.9,100.9,100,104.3,101.3,101.5,99.9,97.5,101.7,99.4
年・年度平均指数／平成11年平均,1999,,100.7,100.9,102,99.8,100.4,98.4,103.1,101.1,100.8,99.7,98.9,100.9,100.4
年・年度平均指数／平成12年平均,2000,,100,100,100,100,100,100,100,100,100,100,100,100,100
年・年度平均指数／平成13年平均,2001,,99.3,99.1,99.4,100.2,99.5,100.6,96.4,97.8,100.7,99.1,101.1,97,99.8
年・年度平均指数／平成8年度平均,1996,,98.8,99,99.4,98.2,99.6,97.8,106.2,97.9,90.7,101.2,94.1,99.9,97.2
年・年度平均指数／平成9年度平均,1997,,100.8,101.2,101.6,99.6,101.2,101.9,105.8,100.6,97.6,101.3,96.2,102.1,99.2
年・年度平均指数／平成10年度平均,1998,,101,101.3,102.7,99.8,100.7,99.5,104,101.3,101.4,99.6,97.9,101.5,99.7
年・年度平均指数／平成11年度平均,1999,,100.5,100.7,101.5,99.9,100.3,98.5,102.4,101,100.4,99.8,99.2,100.7,100.3
年・年度平均指数／平成12年度平均,2000,,99.9,99.9,100.1,100,99.9,100.2,99.1,99.5,100.3,99.9,100.3,99.2,99.9
年・年度平均指数／平成13年度平均,2001,,98.9,98.6,98.7,100.3,99.4,100.8,95.5,97.2,100.5,98.8,101.3,96.3,99.9
前年(度)比(％)／平成8年平均,1996,,0.1,0,-0.1,1.4,1.4,-0.2,-2,1.1,0.7,-0.7,2.4,-1.1,0.4
前年(度)比(％)／平成9年平均,1997,,1.8,1.6,1.8,1.6,1.4,4.7,-0.9,2.3,4.6,0,2.1,1.5,1.6
前年(度)比(％)／平成10年平均,1998,,0.6,0.7,1.4,0.6,0.1,-1.5,-1.5,1.4,7.1,-1.6,1.9,0.1,0.7
