"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","42","25","17","1","0","2","2","3","7","5","2","6","1","6","3","0","2","2","0","0","0","1","2","2","5","2","1","5","0","2","3","0","1","1","0","1","0","1","0","1","2","3","1","1","1","4","0","0","1","1","0","139.675278913885","35.6854309807969"," ～ 137"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","172","90","82","4","2","0","6","37","32","35","17","7","8","8","7","3","1","1","4","1","0","0","1","17","23","15","13","5","4","4","3","0","1","1","2","3","2","0","5","20","9","20","4","2","4","4","4","3","0","0","2","139.671216260566","35.6836049319226","137 ～ 184"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","138","55","83","2","2","2","3","26","18","23","11","11","7","12","5","2","3","2","9","1","1","2","3","7","7","13","7","3","1","4","0","0","2","1","3","1","1","0","0","19","11","10","4","8","6","8","5","2","1","1","6","139.66568591618","35.6841224959966","137 ～ 184"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","93","34","59","1","1","2","5","11","21","18","7","7","7","5","3","4","0","1","0","1","1","1","2","5","7","7","4","1","1","3","0","1","0","0","0","0","0","1","3","6","14","11","3","6","6","2","3","3","0","1","0","139.666494305309","35.6798643845418"," ～ 137"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","143","64","79","0","3","3","6","29","33","18","9","5","14","7","8","5","2","0","1","0","0","1","4","14","16","12","3","4","3","2","3","1","1","0","0","0","3","2","2","15","17","6","6","1","11","5","5","4","1","0","1","139.662465116402","35.6821612315034","137 ～ 184"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","305","165","140","8","7","6","17","39","56","57","28","22","22","14","13","8","3","3","2","6","4","2","10","20","31","36","13","10","12","7","4","5","2","1","2","2","3","4","7","19","25","21","15","12","10","7","9","3","1","2","0","139.679831427916","35.6901030868971","269 ～ 321"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","302","160","142","8","3","3","16","47","68","47","30","19","21","14","9","7","4","2","4","6","1","1","10","20","36","30","16","11","13","7","1","4","2","1","1","2","2","2","6","27","32","17","14","8","8","7","8","3","2","1","3","139.673036827056","35.6915158860072","269 ～ 321"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","97","44","53","4","3","0","1","9","20","14","11","9","12","6","4","4","0","0","0","2","2","0","0","3","11","8","6","2","5","2","3","0","0","0","0","2","1","0","1","6","9","6","5","7","7","4","1","4","0","0","0","139.674196534021","35.6883102206559"," ～ 137"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","96","46","50","1","2","1","2","18","25","10","7","5","4","7","8","3","1","0","2","1","2","0","2","9","14","2","4","3","2","4","1","1","0","0","1","0","0","1","0","9","11","8","3","2","2","3","7","2","1","0","1","139.671402840489","35.688132365579"," ～ 137"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","118","53","65","4","5","3","4","19","11","14","16","8","8","9","6","5","3","0","3","2","0","3","3","10","4","6","10","2","3","3","4","1","1","0","1","2","5","0","1","9","7","8","6","6","5","6","2","4","2","0","2","139.665808041995","35.6880512829529"," ～ 137"
"13114002006","13","114","002006","東京都","中野区","弥生町六丁目","70","31","39","3","0","3","0","8","5","10","13","3","7","7","4","4","1","1","1","2","0","1","0","6","1","3","8","2","1","4","0","2","1","0","0","1","0","2","0","2","4","7","5","1","6","3","4","2","0","1","1","139.661296305306","35.6861222738141"," ～ 137"
"13114003001","13","114","003001","東京都","中野区","本町一丁目","175","95","80","1","0","5","4","17","32","31","24","18","11","14","6","6","2","1","3","0","0","3","4","10","18","18","16","7","4","5","3","3","1","1","2","1","0","2","0","7","14","13","8","11","7","9","3","3","1","0","1","139.684263682418","35.6945497808916","137 ～ 184"
"13114003002","13","114","003002","東京都","中野区","本町二丁目","187","111","76","1","0","1","11","34","36","23","21","18","9","6","9","5","4","2","7","1","0","0","9","24","23","13","14","9","5","3","2","1","2","1","4","0","0","1","2","10","13","10","7","9","4","3","7","4","2","1","3","139.680248832713","35.694749901788","184 ～ 269"
"13114003003","13","114","003003","東京都","中野区","本町三丁目","318","163","155","3","7","2","9","54","87","47","31","20","18","14","10","3","6","3","4","0","4","0","4","27","47","28","16","10","9","7","3","1","2","2","3","3","3","2","5","27","40","19","15","10","9","7","7","2","4","1","1","139.676226149603","35.6953021978143","269 ～ 321"
"13114003004","13","114","003004","東京都","中野区","本町四丁目","353","173","180","4","8","2","5","59","67","60","41","33","24","21","17","2","6","1","3","1","4","1","2","27","31","30","21","18","12","12","8","1","3","0","2","3","4","1","3","32","36","30","20","15","12","9","9","1","3","1","1","139.670757977698","35.6957407995557","321 ～"
"13114003005","13","114","003005","東京都","中野区","本町五丁目","215","106","109","9","1","2","5","38","43","43","20","14","9","8","7","9","3","2","2","5","0","2","4","18","22","23","10","8","4","3","1","3","1","1","1","4","1","0","1","20","21","20","10","6","5","5","6","6","2","1","1","139.670696158992","35.6926426087684","184 ～ 269"
"13114003006","13","114","003006","東京都","中野区","本町六丁目","254","127","127","9","4","0","17","43","53","40","22","19","14","14","9","3","1","3","3","8","2","0","6","19","25","21","10","12","8","8","4","1","0","1","2","1","2","0","11","24","28","19","12","7","6","6","5","2","1","2","1","139.664333132286","35.6954696302311","184 ～ 269"
"13114004001","13","114","004001","東京都","中野区","中央一丁目","402","218","184","5","2","3","31","66","83","61","37","32","23","18","15","10","6","2","8","3","1","1","11","35","45","37","22","19","14","10","9","5","3","1","2","2","1","2","20","31","38","24","15","13","9","8","6","5","3","1","6","139.68563112818","35.6990138966392","321 ～"
"13114004002","13","114","004002","東京都","中野区","中央二丁目","303","145","158","0","1","2","12","62","73","51","26","15","15","17","12","4","4","4","5","0","1","0","6","32","35","24","15","8","7","5","5","3","3","0","1","0","0","2","6","30","38","27","11","7","8","12","7","1","1","4","4","139.679241144486","35.6994674880177","269 ～ 321"
"13114004003","13","114","004003","東京都","中野区","中央三丁目","321","166","155","7","5","2","12","44","82","57","38","24","11","18","10","10","0","0","1","4","2","0","5","23","40","32","17","18","3","10","7","4","0","0","1","3","3","2","7","21","42","25","21","6","8","8","3","6","0","0","0","139.673288125946","35.7000259035886","321 ～"
"13114004004","13","114","004004","東京都","中野区","中央四丁目","459","202","257","4","4","1","33","128","91","65","37","18","22","21","14","6","5","3","7","2","2","1","15","61","44","21","19","6","9","6","6","3","3","2","2","2","2","0","18","67","47","44","18","12","13","15","8","3","2","1","5","139.66882864583","35.7002489598244","321 ～"
"13114004005","13","114","004005","東京都","中野区","中央五丁目","361","167","194","7","5","2","18","78","90","49","27","22","21","13","10","7","7","4","1","2","3","2","7","37","39","25","13","13","10","4","6","3","0","3","0","5","2","0","11","41","51","24","14","9","11","9","4","4","7","1","1","139.664667776935","35.7000562392736","321 ～"
"13114005001","13","114","005001","東京都","中野区","東中野一丁目","609","340","269","23","9","6","12","137","134","92","67","43","26","22","16","7","5","2","8","14","7","2","5","73","73","54","37","33","11","14","6","2","3","2","4","9","2","4","7","64","61","38","30","10","15","8","10","5","2","0","4","139.685177472137","35.7036354659833","321 ～"
"13114005002","13","114","005002","東京都","中野区","東中野二丁目","292","149","143","4","1","2","22","81","58","40","23","16","13","15","7","2","2","3","3","1","0","0","8","45","30","20","16","9","7","6","4","1","1","1","0","3","1","2","14","36","28","20","7","7","6","9","3","1","1","2","3","139.679631608041","35.7035087971788","269 ～ 321"
"13114005003","13","114","005003","東京都","中野区","東中野三丁目","231","125","106","3","1","1","13","49","53","37","19","20","11","8","7","4","2","1","2","2","0","0","8","30","19","22","13","11","10","4","2","1","2","0","1","1","1","1","5","19","34","15","6","9","1","4","5","3","0","1","1","139.681560781287","35.7081804572918","184 ～ 269"
"13114005004","13","114","005004","東京都","中野区","東中野四丁目","437","224","213","10","8","3","12","95","124","66","51","19","15","8","11","6","6","1","2","5","5","1","6","51","63","28","30","8","8","6","6","2","4","1","0","5","3","2","6","44","61","38","21","11","7","2","5","4","2","0","2","139.68621788878","35.7086717760593","321 ～"
"13114005005","13","114","005005","東京都","中野区","東中野五丁目","305","165","140","11","6","2","13","53","65","52","33","22","19","10","4","8","2","4","1","3","5","2","7","37","32","28","12","19","10","2","3","1","1","2","1","8","1","0","6","16","33","24","21","3","9","8","1","7","1","2","0","139.69021511275","35.7086984390765","269 ～ 321"
"13114006001","13","114","006001","東京都","中野区","中野一丁目","434","232","202","11","6","3","23","119","105","44","40","14","17","18","15","6","5","5","3","5","4","2","12","64","50","25","22","9","11","8","8","5","3","3","1","6","2","1","11","55","55","19","18","5","6","10","7","1","2","2","2","139.67620858374","35.7035342706179","321 ～"
"13114006002","13","114","006002","東京都","中野区","中野二丁目","148","65","83","3","0","3","11","34","36","16","6","6","12","7","6","1","2","1","4","2","0","2","6","13","15","11","2","1","5","1","3","1","0","1","2","1","0","1","5","21","21","5","4","5","7","6","3","0","2","0","2","139.669093459576","35.7041812440605","137 ～ 184"
"13114006003","13","114","006003","東京都","中野区","中野三丁目","362","179","183","3","4","2","11","101","100","39","32","16","16","13","10","6","5","0","4","1","1","1","9","57","46","20","16","7","6","5","3","3","3","0","1","2","3","1","2","44","54","19","16","9","10","8","7","3","2","0","3","139.661781788124","35.7028649739201","321 ～"
"13114006004","13","114","006004","東京都","中野区","中野四丁目","421","213","208","5","0","2","174","151","35","22","7","7","5","2","5","3","1","2","0","2","0","1","78","87","19","11","5","3","0","1","3","1","1","1","0","3","0","1","96","64","16","11","2","4","5","1","2","2","0","1","0","139.661468058502","35.7076937742814","321 ～"
"13114006005","13","114","006005","東京都","中野区","中野五丁目","484","249","235","10","3","5","21","126","117","57","43","28","19","15","11","4","10","6","9","5","0","2","13","66","54","39","18","17","11","5","6","2","5","2","4","5","3","3","8","60","63","18","25","11","8","10","5","2","5","4","5","139.66897568276","35.7076757824246","321 ～"
"13114006006","13","114","006006","東京都","中野区","中野六丁目","268","137","131","4","1","2","21","81","63","33","19","12","9","6","9","5","0","1","2","1","1","1","8","37","35","22","7","6","5","3","7","3","0","1","0","3","0","1","13","44","28","11","12","6","4","3","2","2","0","0","2","139.675852340594","35.707564031603","184 ～ 269"
"13114007001","13","114","007001","東京都","中野区","上高田一丁目","453","248","205","6","5","2","36","172","90","44","32","27","18","8","9","2","1","0","1","4","5","2","16","91","46","28","20","16","11","4","4","0","1","0","0","2","0","0","20","81","44","16","12","11","7","4","5","2","0","0","1","139.677869528936","35.7105857272966","321 ～"
"13114007002","13","114","007002","東京都","中野区","上高田二丁目","324","166","158","5","3","2","18","74","100","47","20","14","14","10","5","2","4","0","6","3","2","1","10","37","55","24","7","8","10","4","2","0","0","0","3","2","1","1","8","37","45","23","13","6","4","6","3","2","4","0","3","139.671141642535","35.7119477415905","321 ～"
"13114007003","13","114","007003","東京都","中野区","上高田三丁目","273","155","118","2","2","4","17","82","73","37","20","12","9","4","4","3","2","2","0","2","1","0","9","48","47","22","6","7","6","2","3","1","1","0","0","0","1","4","8","34","26","15","14","5","3","2","1","2","1","2","0","139.674004619858","35.7139967134569","269 ～ 321"
"13114007004","13","114","007004","東京都","中野区","上高田四丁目","312","154","158","9","6","7","24","73","59","33","22","25","17","19","7","4","4","0","3","5","5","5","5","39","31","17","10","9","9","9","5","2","0","0","3","4","1","2","19","34","28","16","12","16","8","10","2","2","4","0","0","139.678244464293","35.7134588796682","269 ～ 321"
"13114007005","13","114","007005","東京都","中野区","上高田五丁目","177","101","76","1","2","2","13","55","46","22","13","4","1","7","4","3","3","1","0","1","2","2","9","31","24","13","9","2","0","3","0","2","3","0","0","0","0","0","4","24","22","9","4","2","1","4","4","1","0","1","0","139.675475144169","35.7177646413265","137 ～ 184"
"13114008001","13","114","008001","東京都","中野区","新井一丁目","298","168","130","2","1","5","18","94","69","44","17","8","12","8","7","5","2","3","3","2","1","4","9","50","42","27","8","6","7","3","1","4","2","1","1","0","0","1","9","44","27","17","9","2","5","5","6","1","0","2","2","139.667697937877","35.7120911572706","269 ～ 321"
"13114008002","13","114","008002","東京都","中野区","新井二丁目","290","143","147","3","4","1","14","68","74","45","28","9","18","9","10","5","1","1","0","1","1","0","8","39","36","22","11","6","9","5","4","0","1","0","0","2","3","1","6","29","38","23","17","3","9","4","6","5","0","1","0","139.66307280542","35.7120822502015","269 ～ 321"
"13114008003","13","114","008003","東京都","中野区","新井三丁目","132","80","52","0","1","2","9","42","41","13","9","5","0","0","3","2","2","1","2","0","0","2","7","20","29","10","3","3","0","0","1","1","1","1","2","0","1","0","2","22","12","3","6","2","0","0","2","1","1","0","0","139.662419534714","35.715908084647"," ～ 137"
"13114008004","13","114","008004","東京都","中野区","新井四丁目","106","42","64","0","1","2","4","25","20","17","9","9","7","0","7","2","2","0","1","0","0","0","2","9","10","8","3","5","1","0","1","1","2","0","0","0","1","2","2","16","10","9","6","4","6","0","6","1","0","0","1","139.666321397554","35.716577302899"," ～ 137"
"13114008005","13","114","008005","東京都","中野区","新井五丁目","127","59","68","2","3","1","9","26","23","21","11","9","6","3","3","4","2","1","3","1","2","0","4","11","11","9","6","4","3","2","1","1","2","1","1","1","1","1","5","15","12","12","5","5","3","1","2","3","0","0","2","139.669043923667","35.7152974015318"," ～ 137"
"13114009001","13","114","009001","東京都","中野区","沼袋一丁目","269","136","133","5","0","2","19","88","74","27","18","9","7","6","3","3","3","3","2","3","0","1","10","34","43","16","8","5","4","5","1","2","2","1","1","2","0","1","9","54","31","11","10","4","3","1","2","1","1","2","1","139.665962380587","35.7193085000846","269 ～ 321"
"13114009002","13","114","009002","東京都","中野区","沼袋二丁目","263","116","147","5","0","2","16","88","78","24","10","5","6","8","10","6","2","2","1","1","0","0","8","33","42","14","2","2","3","3","3","3","0","1","1","4","0","2","8","55","36","10","8","3","3","5","7","3","2","1","0","139.665778737259","35.7222624207704","184 ～ 269"
"13114009003","13","114","009003","東京都","中野区","沼袋三丁目","300","179","121","5","3","1","20","123","80","24","11","7","8","7","0","3","3","3","2","4","1","1","14","69","49","15","6","3","4","5","0","3","1","2","2","1","2","0","6","54","31","9","5","4","4","2","0","0","2","1","0","139.660629951083","35.7183314857835","269 ～ 321"
"13114009004","13","114","009004","東京都","中野区","沼袋四丁目","224","123","101","3","1","2","12","88","39","26","21","7","4","6","7","4","1","1","2","1","1","1","5","57","23","10","11","2","2","2","3","3","1","0","1","2","0","1","7","31","16","16","10","5","2","4","4","1","0","1","1","139.660190260831","35.7217340370417","184 ～ 269"
"13114010001","13","114","010001","東京都","中野区","松が丘一丁目","243","143","100","1","2","1","18","69","44","36","18","20","9","13","6","1","0","1","4","1","1","1","11","42","30","23","8","12","6","5","1","0","0","0","2","0","1","0","7","27","14","13","10","8","3","8","5","1","0","1","2","139.67253741837","35.7198904094131","184 ～ 269"
"13114010002","13","114","010002","東京都","中野区","松が丘二丁目","183","85","98","3","1","2","17","60","44","10","15","8","7","4","6","3","2","0","1","1","0","0","8","29","15","6","9","4","6","2","3","1","1","0","0","2","1","2","9","31","29","4","6","4","1","2","3","2","1","0","1","139.671114401543","35.7207583206409","137 ～ 184"
"13114011001","13","114","011001","東京都","中野区","江原町一丁目","187","84","103","4","4","4","11","30","42","30","21","16","13","5","2","4","1","0","0","2","2","2","7","11","25","9","10","8","4","2","1","0","1","0","0","2","2","2","4","19","17","21","11","8","9","3","1","4","0","0","0","139.673536674525","35.7292827190922","184 ～ 269"
