"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","38","22","16","0","0","2","0","2","9","6","2","4","1","7","2","2","0","1","0","0","0","1","0","2","5","3","2","3","0","2","2","1","0","1","0","0","0","1","0","0","4","3","0","1","1","5","0","1","0","0","0","139.675278913885","35.6854309807969"," ～ 128"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","179","110","69","4","1","1","6","30","53","29","14","9","7","12","3","3","1","3","3","1","0","0","5","23","39","14","9","5","5","4","1","0","1","2","1","3","1","1","1","7","14","15","5","4","2","8","2","3","0","1","2","139.671216260566","35.6836049319226","179 ～ 252"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","113","42","71","1","1","0","4","17","18","12","11","10","7","11","5","2","3","2","9","0","1","0","3","5","9","6","5","2","2","3","0","0","2","1","3","1","0","0","1","12","9","6","6","8","5","8","5","2","1","1","6","139.66568591618","35.6841224959966"," ～ 128"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","83","31","52","1","0","2","1","9","16","23","2","7","9","5","3","4","0","1","0","1","0","1","1","4","3","12","0","3","2","3","0","1","0","0","0","0","0","1","0","5","13","11","2","4","7","2","3","3","0","1","0","139.666494305309","35.6798643845418"," ～ 128"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","140","66","74","2","2","3","8","31","30","14","13","4","12","7","8","3","2","0","1","1","0","1","5","16","16","9","6","3","2","3","2","1","1","0","0","1","2","2","3","15","14","5","7","1","10","4","6","2","1","0","1","139.662465116402","35.6821612315034","128 ～ 179"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","307","158","149","7","8","7","12","34","73","56","25","22","19","17","12","7","4","2","2","5","3","4","6","17","37","30","14","10","12","8","3","4","1","2","2","2","5","3","6","17","36","26","11","12","7","9","9","3","3","0","0","139.679831427916","35.6901030868971","252 ～ 314"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","279","141","138","10","1","4","9","42","57","49","30","24","20","12","5","7","3","3","3","7","0","1","5","16","31","26","18","14","13","3","0","4","1","2","0","3","1","3","4","26","26","23","12","10","7","9","5","3","2","1","3","139.673036827056","35.6915158860072","252 ～ 314"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","98","42","56","4","2","0","2","14","17","15","13","10","8","5","6","1","0","1","0","3","1","0","0","4","10","6","7","3","3","2","3","0","0","0","0","1","1","0","2","10","7","9","6","7","5","3","3","1","0","1","0","139.674196534021","35.6883102206559"," ～ 128"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","95","47","48","2","1","1","1","21","25","8","7","3","5","8","7","2","2","0","2","1","1","0","1","11","14","2","4","3","2","6","1","0","0","0","1","1","0","1","0","10","11","6","3","0","3","2","6","2","2","0","1","139.671402840489","35.688132365579"," ～ 128"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","133","59","74","3","5","3","4","22","15","23","10","9","10","11","8","5","1","0","4","1","1","3","0","10","8","12","6","3","5","3","5","0","1","0","1","2","4","0","4","12","7","11","4","6","5","8","3","5","0","0","3","139.665808041995","35.6880512829529","128 ～ 179"
"13114002006","13","114","002006","東京都","中野区","弥生町六丁目","64","31","33","2","0","1","1","3","15","9","7","4","9","5","2","5","1","0","0","1","0","1","1","3","7","4","5","2","3","1","0","3","0","0","0","1","0","0","0","0","8","5","2","2","6","4","2","2","1","0","0","139.661296305306","35.6861222738141"," ～ 128"
"13114003001","13","114","003001","東京都","中野区","本町一丁目","185","98","87","2","3","3","4","24","35","35","21","17","12","9","7","7","2","1","3","1","2","2","3","16","18","16","12","8","5","4","3","4","1","1","2","1","1","1","1","8","17","19","9","9","7","5","4","3","1","0","1","139.684263682418","35.6945497808916","179 ～ 252"
"13114003002","13","114","003002","東京都","中野区","本町二丁目","172","105","67","0","0","0","5","37","41","19","18","17","6","8","5","5","3","1","7","0","0","0","4","32","25","11","11","7","4","3","1","1","2","0","4","0","0","0","1","5","16","8","7","10","2","5","4","4","1","1","3","139.680248832713","35.694749901788","128 ～ 179"
"13114003003","13","114","003003","東京都","中野区","本町三丁目","302","142","160","3","7","3","12","64","67","38","30","24","16","12","10","5","5","3","3","0","5","0","4","24","37","20","15","12","7","7","3","1","3","2","2","3","2","3","8","40","30","18","15","12","9","5","7","4","2","1","1","139.676226149603","35.6953021978143","252 ～ 314"
"13114003004","13","114","003004","東京都","中野区","本町四丁目","346","185","161","5","7","2","13","52","71","57","38","29","17","27","13","1","9","1","4","2","4","1","9","28","38","32","21","14","9","16","5","0","3","1","2","3","3","1","4","24","33","25","17","15","8","11","8","1","6","0","2","139.670757977698","35.6957407995557","314 ～"
"13114003005","13","114","003005","東京都","中野区","本町五丁目","186","102","84","4","1","1","5","32","45","32","17","10","11","7","8","7","3","1","2","3","0","1","5","15","26","20","10","5","7","2","2","4","0","1","1","1","1","0","0","17","19","12","7","5","4","5","6","3","3","0","1","139.670696158992","35.6926426087684","179 ～ 252"
"13114003006","13","114","003006","東京都","中野区","本町六丁目","229","112","117","5","1","0","10","39","55","34","29","10","16","14","8","1","1","3","3","3","1","0","4","18","29","16","16","7","7","6","2","0","0","1","2","2","0","0","6","21","26","18","13","3","9","8","6","1","1","2","1","139.664333132286","35.6954696302311","179 ～ 252"
