"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","世帯数","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","21","45","29","16","1","0","2","0","3","7","8","3","6","3","3","5","1","2","1","0","0","0","1","0","3","6","4","3","4","2","1","3","1","1","0","0","1","0","1","0","0","1","4","0","2","1","2","2","0","1","1","0","139.675278913885","35.6854309807969"," ～ 122.6"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","103","145","80","65","5","1","0","2","24","35","30","14","9","5","5","8","2","0","2","3","2","0","0","0","9","25","16","11","6","4","2","2","0","0","2","1","3","1","0","2","15","10","14","3","3","1","3","6","2","0","0","2","139.671216260566","35.6836049319226","122.6 ～ 160.3"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","75","122","53","69","3","1","2","0","17","15","18","14","10","10","10","5","4","2","2","9","3","0","2","0","7","7","11","10","1","3","4","0","0","1","1","3","0","1","0","0","10","8","7","4","9","7","6","5","4","1","1","6","139.66568591618","35.6841224959966"," ～ 122.6"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","69","108","45","63","0","3","2","2","16","28","17","8","7","7","9","3","4","1","1","0","0","2","1","1","9","11","8","4","2","0","5","0","1","1","0","0","0","1","1","1","7","17","9","4","5","7","4","3","3","0","1","0","139.666494305309","35.6798643845418"," ～ 122.6"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","79","129","60","69","2","3","2","3","19","28","16","12","4","14","7","11","5","1","1","1","2","0","0","1","11","17","10","5","2","4","1","5","1","0","1","0","0","3","2","2","8","11","6","7","2","10","6","6","4","1","0","1","139.662465116402","35.6821612315034","122.6 ～ 160.3"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","182","263","144","119","6","2","5","7","37","39","54","37","13","25","11","12","7","4","3","1","4","1","1","4","20","25","31","21","5","14","5","4","5","2","1","1","2","1","4","3","17","14","23","16","8","11","6","8","2","2","2","0","139.679831427916","35.6901030868971","241.9 ～ 285"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","196","294","146","148","6","7","3","15","38","57","45","33","25","17","16","13","8","5","1","5","5","3","2","7","16","27","23","21","15","10","7","2","4","2","1","1","1","4","1","8","22","30","22","12","10","7","9","11","4","3","0","4","139.673036827056","35.6915158860072","285 ～"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","47","83","37","46","4","1","2","0","7","16","13","7","8","8","5","6","5","1","0","0","2","1","1","0","3","7","8","5","1","1","2","4","1","1","0","0","2","0","1","0","4","9","5","2","7","7","3","2","4","0","0","0","139.674196534021","35.6883102206559"," ～ 122.6"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","56","94","41","53","1","2","1","0","16","14","17","10","6","2","8","9","4","1","1","2","1","2","0","0","9","2","7","6","4","1","4","2","1","1","0","1","0","0","1","0","7","12","10","4","2","1","4","7","3","0","1","1","139.671402840489","35.688132365579"," ～ 122.6"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","81","128","56","72","3","4","4","4","18","21","16","15","7","11","8","7","4","3","0","3","0","0","3","2","8","7","11","8","3","4","2","5","1","1","0","1","3","4","1","2","10","14","5","7","4","7","6","2","3","2","0","2","139.665808041995","35.6880512829529","122.6 ～ 160.3"
"13114002006","13","114","002006","東京都","中野区","弥生町六丁目","32","66","32","34","4","1","1","0","4","6","11","12","3","6","7","4","3","3","1","0","4","0","1","0","2","3","5","7","2","1","4","0","1","2","0","0","0","1","0","0","2","3","6","5","1","5","3","4","2","1","1","0","139.661296305306","35.6861222738141"," ～ 122.6"
"13114003001","13","114","003001","東京都","中野区","本町一丁目","111","159","83","76","1","3","5","1","17","26","27","23","12","15","11","4","7","3","1","3","1","1","3","1","13","12","15","13","6","4","3","3","4","1","1","2","0","2","2","0","4","14","12","10","6","11","8","1","3","2","0","1","139.684263682418","35.6945497808916","122.6 ～ 160.3"
"13114003002","13","114","003002","東京都","中野区","本町二丁目","119","162","91","71","2","0","0","6","29","27","24","23","12","10","5","7","5","3","3","6","2","0","0","5","20","14","13","16","5","4","2","1","2","2","1","4","0","0","0","1","9","13","11","7","7","6","3","6","3","1","2","2","139.680248832713","35.694749901788","160.3 ～ 241.9"
"13114003003","13","114","003003","東京都","中野区","本町三丁目","202","285","149","136","2","8","1","7","47","78","37","25","21","18","17","9","3","6","2","4","0","5","0","1","24","49","20","12","9","10","10","2","1","2","2","2","2","3","1","6","23","29","17","13","12","8","7","7","2","4","0","2","139.676226149603","35.6953021978143","285 ～"
"13114003004","13","114","003004","東京都","中野区","本町四丁目","225","320","163","157","5","6","3","9","40","70","49","41","23","19","22","18","2","4","5","4","3","4","2","5","22","30","25","24","9","10","12","8","1","2","3","3","2","2","1","4","18","40","24","17","14","9","10","10","1","2","2","1","139.670757977698","35.6957407995557","285 ～"
"13114003005","13","114","003005","東京都","中野区","本町五丁目","134","191","93","98","3","1","4","3","26","38","39","20","17","11","9","8","8","3","0","1","1","0","3","2","15","18","23","7","8","6","5","2","3","0","0","0","2","1","1","1","11","20","16","13","9","5","4","6","5","3","0","1","139.670696158992","35.6926426087684","160.3 ～ 241.9"
"13114003006","13","114","003006","東京都","中野区","本町六丁目","191","252","118","134","7","6","0","12","44","51","38","23","21","15","15","10","4","1","2","3","5","4","0","6","13","23","15","14","12","11","6","6","1","0","0","2","2","2","0","6","31","28","23","9","9","4","9","4","3","1","2","1","139.664333132286","35.6954696302311","241.9 ～ 285"
"13114004001","13","114","004001","東京都","中野区","中央一丁目","223","332","172","160","3","3","6","8","44","53","58","42","33","24","18","15","10","6","3","6","2","2","3","3","16","23","34","21","20","16","12","9","4","3","2","2","1","1","3","5","28","30","24","21","13","8","6","6","6","3","1","4","139.68563112818","35.6990138966392","285 ～"
"13114004002","13","114","004002","東京都","中野区","中央二丁目","192","270","130","140","4","1","2","6","37","67","48","33","15","8","20","12","5","2","4","6","2","1","0","4","18","34","23","17","8","4","8","4","4","1","1","1","2","0","2","2","19","33","25","16","7","4","12","8","1","1","3","5","139.679241144486","35.6994674880177","241.9 ～ 285"
"13114004003","13","114","004003","東京都","中野区","中央三丁目","202","281","142","139","4","6","3","5","37","63","55","38","25","11","13","10","10","1","0","0","3","2","2","1","14","33","28","21","18","4","7","6","3","0","0","0","1","4","1","4","23","30","27","17","7","7","6","4","7","1","0","0","139.673288125946","35.7000259035886","241.9 ～ 285"
