"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","世帯数","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","20","42","25","17","1","0","2","0","6","4","8","2","3","6","2","5","2","0","1","0","1","0","1","0","4","3","3","2","2","4","1","2","2","0","0","0","0","0","1","0","2","1","5","0","1","2","1","3","0","0","1","0","139.675278913885","35.6854309807969"," ～ 101"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","93","139","79","60","5","3","0","1","12","31","33","15","11","6","4","11","2","1","1","3","3","1","0","1","7","18","18","11","8","5","1","4","0","0","1","1","2","2","0","0","5","13","15","4","3","1","3","7","2","1","0","2","139.671216260566","35.6836049319226","136.7 ～ 197.2"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","77","129","57","72","5","2","1","3","11","13","21","19","9","7","12","6","6","2","3","9","5","2","1","0","3","7","13","11","2","3","4","1","0","1","1","3","0","0","0","3","8","6","8","8","7","4","8","5","6","1","2","6","139.66568591618","35.6841224959966","101 ～ 136.7"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","58","101","45","56","2","3","1","2","8","19","19","9","7","10","6","7","6","1","1","0","2","2","0","2","3","9","11","5","2","2","2","3","1","1","0","0","0","1","1","0","5","10","8","4","5","8","4","4","5","0","1","0","139.666494305309","35.6798643845418","101 ～ 136.7"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","77","126","63","63","4","2","3","3","10","40","9","14","5","11","8","8","6","1","1","1","3","0","0","1","6","24","5","8","2","6","1","5","1","0","1","0","1","2","3","2","4","16","4","6","3","5","7","3","5","1","0","1","139.662465116402","35.6821612315034","101 ～ 136.7"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","173","256","141","115","8","1","7","6","28","52","45","27","16","23","13","13","9","5","2","1","6","1","2","2","16","31","26","16","8","13","7","4","5","3","0","1","2","0","5","4","12","21","19","11","8","10","6","9","4","2","2","0","139.679831427916","35.6901030868971","197.2 ～ 282"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","201","300","154","146","10","6","2","7","38","52","56","31","31","17","15","15","8","5","2","5","9","3","2","1","15","25","34","18","17","10","8","3","4","3","1","1","1","3","0","6","23","27","22","13","14","7","7","12","4","2","1","4","139.673036827056","35.6915158860072","282 ～"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","50","89","39","50","3","2","2","1","13","14","15","11","6","7","6","4","4","1","0","0","2","1","1","1","6","7","7","8","1","0","1","3","1","0","0","0","1","1","1","0","7","7","8","3","5","7","5","1","3","1","0","0","139.674196534021","35.6883102206559"," ～ 101"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","49","89","41","48","3","1","1","1","13","12","19","5","8","3","4","8","6","2","1","2","3","1","1","0","6","6","6","3","4","2","1","5","1","1","0","1","0","0","0","1","7","6","13","2","4","1","3","3","5","1","1","1","139.671402840489","35.688132365579"," ～ 101"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","76","120","56","64","1","3","4","5","13","23","12","14","8","13","6","9","4","2","1","2","0","0","2","2","8","11","8","7","3","6","1","6","1","1","0","0","1","3","2","3","5","12","4","7","5","7","5","3","3","1","1","2","139.665808041995","35.6880512829529","101 ～ 136.7"
"13114002006","13","114","002006","東京都","中野区","弥生町六丁目","32","66","33","33","5","2","1","1","5","7","9","12","5","2","6","4","3","3","1","0","3","1","1","1","1","3","5","6","4","1","3","1","1","2","0","0","2","1","0","0","4","4","4","6","1","1","3","3","2","1","1","0","139.661296305306","35.6861222738141"," ～ 101"
