"図形と集計データのリンクコード","都道府県番号","市区町村番号","町丁・字等番号","都道府県名","市区町村名","町丁・字等名称","人口・総数","人口・男性","人口・女性","総数０から４歳","総数５から９歳","総数１０から１４歳","総数１５から１９歳","総数２０から２４歳","総数２５から２９歳","総数３０から３４歳","総数３５から３９歳","総数４０から４４歳","総数４５から４９歳","総数５０から５４歳","総数５５から５９歳","総数６０から６４歳","総数６５から６９歳","総数７０から７４歳","総数７５歳以上","男性０から４歳","男性５から９歳","男性１０から１４歳","男性１５から１９歳","男性２０から２４歳","男性２５から２９歳","男性３０から３４歳","男性３５から３９歳","男性４０から４４歳","男性４５から４９歳","男性５０から５４歳","男性５５から５９歳","男性６０から６４歳","男性６５から６９歳","男性７０から７４歳","男性７５歳以上","女性０から４歳","女性５から９歳","女性１０から１４歳","女性１５から１９歳","女性２０から２４歳","女性２５から２９歳","女性３０から３４歳","女性３５から３９歳","女性４０から４４歳","女性４５から４９歳","女性５０から５４歳","女性５５から５９歳","女性６０から６４歳","女性６５から６９歳","女性７０から７４歳","女性７５歳以上","経度","緯度","分類"
"13114001001","13","114","001001","東京都","中野区","南台一丁目","36","19","17","0","1","1","0","2","8","4","4","5","1","6","1","2","0","1","0","0","1","0","0","1","4","2","4","3","0","1","1","1","0","1","0","0","0","1","0","1","4","2","0","2","1","5","0","1","0","0","0","139.675278913885","35.6854309807969"," ～ 109"
"13114001002","13","114","001002","東京都","中野区","南台二丁目","123","63","60","2","0","1","0","13","33","24","12","7","7","13","2","2","1","3","3","0","0","0","0","7","18","12","6","6","5","4","1","0","1","2","1","2","0","1","0","6","15","12","6","1","2","9","1","2","0","1","2","139.671216260566","35.6836049319226","109 ～ 168"
"13114001003","13","114","001003","東京都","中野区","南台三丁目","130","55","75","4","0","0","2","17","19","28","14","7","6","10","6","2","3","2","10","3","0","0","2","10","7","16","4","2","3","2","0","1","1","1","3","1","0","0","0","7","12","12","10","5","3","8","6","1","2","1","7","139.66568591618","35.6841224959966","109 ～ 168"
"13114001004","13","114","001004","東京都","中野区","南台四丁目","79","28","51","2","1","1","1","14","10","20","4","8","6","7","2","1","1","1","0","2","0","1","1","6","1","9","1","2","1","3","0","1","0","0","0","0","1","0","0","8","9","11","3","6","5","4","2","0","1","1","0","139.666494305309","35.6798643845418"," ～ 109"
"13114001005","13","114","001005","東京都","中野区","南台五丁目","137","56","81","1","2","3","11","30","29","17","8","4","11","7","9","3","1","0","1","0","0","1","4","16","13","8","4","2","2","2","3","0","1","0","0","1","2","2","7","14","16","9","4","2","9","5","6","3","0","0","1","139.662465116402","35.6821612315034","109 ～ 168"
"13114002001","13","114","002001","東京都","中野区","弥生町一丁目","297","153","144","10","5","5","10","36","61","60","28","23","21","16","11","5","2","2","2","5","1","3","5","13","37","34","16","10","11","8","4","2","0","2","2","5","4","2","5","23","24","26","12","13","10","8","7","3","2","0","0","139.679831427916","35.6901030868971","234 ～ 308"
"13114002002","13","114","002002","東京都","中野区","弥生町二丁目","242","127","115","10","1","5","7","33","40","47","23","22","21","13","6","7","1","3","3","6","1","2","4","14","21","33","13","12","9","4","1","5","0","2","0","4","0","3","3","19","19","14","10","10","12","9","5","2","1","1","3","139.673036827056","35.6915158860072","234 ～ 308"
"13114002003","13","114","002003","東京都","中野区","弥生町三丁目","84","35","49","3","1","0","2","12","13","12","14","6","8","6","5","1","0","1","0","2","1","0","0","6","6","5","6","1","3","3","2","0","0","0","0","1","0","0","2","6","7","7","8","5","5","3","3","1","0","1","0","139.674196534021","35.6883102206559"," ～ 109"
"13114002004","13","114","002004","東京都","中野区","弥生町四丁目","90","47","43","2","0","1","3","20","23","9","4","1","6","8","7","2","2","0","2","1","0","0","3","14","12","4","2","1","3","4","2","0","0","0","1","1","0","1","0","6","11","5","2","0","3","4","5","2","2","0","1","139.671402840489","35.688132365579"," ～ 109"
"13114002005","13","114","002005","東京都","中野区","弥生町五丁目","147","70","77","3","4","3","5","26","24","23","5","12","10","15","8","3","1","0","5","1","2","2","1","14","17","11","1","7","4","4","3","0","1","0","2","2","2","1","4","12","7","12","4","5","6","11","5","3","0","0","3","139.665808041995","35.6880512829529","109 ～ 168"
