年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(輸入品)(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(ロース)(100g)/円,1212豚肉(もも肉)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(100g)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(100g)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(100g)/円,1430えだまめ(100g)/円,1432さやいんげん(100g)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(100g)/円,1438生しいたけ(100g)/円,1442えのきだけ(100g)/円,1443しめじ(100g)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(輸入品)(1kg)/円,1516いよかん(1kg)/円,1521なし(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541かき(果物)(1kg)/円,1551もも(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(100g)/円,1572さくらんぼ(100g)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成23年10月,2011,10,391,101,76,205,199,238,110,75,562,221,84,280,243,112,324,232,781,206,241,173,130,123,187,1040,317,568,540,16,787,152,393,315,550,216,363,765,225,850,644,128,...,236,353,569,681,863,80,175,53,88,490,...,503,540,270,371,...,432,...,1155,546,...,...,...,...,...,225,723,172,217,298
平成23年11月,2011,11,390,100,91,...,173,235,110,71,553,228,69,285,241,110,338,223,774,215,236,174,130,125,139,600,137,406,335,16,535,140,364,316,513,131,332,778,226,780,645,129,...,182,341,555,568,701,69,159,53,84,...,498,455,550,283,369,...,...,...,...,472,...,...,...,...,...,216,729,170,202,299
平成23年11月上旬,2011,11上,390,103,81,...,170,...,104,70,555,228,62,...,...,...,340,...,...,...,...,...,...,...,148,693,158,433,327,...,577,132,...,...,...,134,...,...,230,780,...,...,...,196,338,536,577,693,71,...,...,...,...,517,447,...,...,...,...,...,...,...,487,...,...,...,...,...,216,...,170,202,300
平成23年11月中旬,2011,11中,394,93,98,...,167,235,115,74,540,237,65,285,241,110,344,223,774,215,236,174,130,125,147,615,143,391,340,16,550,139,364,316,513,144,332,778,228,792,645,129,...,177,344,551,576,738,69,159,53,84,...,510,465,550,283,369,...,...,...,...,462,...,...,...,...,...,219,729,170,204,300
平成23年11月下旬,2011,11下,385,104,96,...,182,...,111,70,564,220,79,...,...,...,331,...,...,...,...,...,...,...,123,494,111,394,338,...,479,150,...,...,...,116,...,...,220,767,...,...,...,173,340,580,550,671,68,...,...,...,...,468,455,...,...,...,...,...,...,...,465,...,...,...,...,...,214,...,170,201,298
平成23年12月上旬,2011,12上,392,90,95,...,156,...,102,77,554,231,69,...,...,...,346,...,...,...,...,...,...,...,130,557,111,426,405,...,455,155,...,...,...,106,...,...,224,807,...,...,...,212,381,660,700,727,76,...,...,...,...,455,448,...,...,...,...,...,...,...,542,...,...,...,149,...,205,...,170,200,299
平成23年12月中旬,2011,12中,397,96,93,...,182,232,97,76,545,230,71,297,249,116,342,217,796,219,238,173,129,126,129,576,111,416,406,16,484,151,390,315,496,108,279,793,231,802,658,130,...,210,374,798,737,729,79,151,62,90,...,470,451,514,303,385,...,...,...,...,670,...,...,...,150,...,199,744,175,204,321
銘柄改正年月,,,,,,H23.7,,,,,,,,,,,,,,,,,,,,,,,,H23.7,,,,,,,,,,,,,,,,,,,,,,,,H23.3,H23.9,,,,,,,,,,,,,H23.6,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成23年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
