年月,西暦（年）,月,消費者物価指数(平成22年=100）/全国,消費者物価指数(平成22年=100）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成22年=100）/二人以上の世帯,1)消費水準指数全国(平成22年=100）/二人以上の世帯のうち勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/3)平均消費性向（％）,生計（東京都勤労者世帯）/4)公共的料金負担率（％）,2)実質賃金指数/調査産業計
平成2年平均,1990,,94.5,96.7,1709.8,745.4,106.4,106.3,611320,373462,73.4,25.2,…
平成3年平均,1991,,97.6,99.9,1766.2,741.3,108.4,107.2,630856,389877,74.4,24.8,…
平成4年平均,1992,,99.3,101.9,1800.4,729.3,108.8,107.7,646147,392114,73.2,25.1,…
平成5年平均,1993,,100.6,103.1,1822.6,708.1,108.8,107.8,677044,397896,71.6,26.2,…
平成6年平均,1994,,101.2,103.8,1834.6,693.7,107.9,106.7,669665,395193,70.9,27,…
平成7年平均,1995,,101.1,103.5,1829.5,687.2,107.5,106.5,648892,380868,70.7,27.8,…
平成8年平均,1996,,101.2,103.5,1829.5,688,108,107.3,629627,379877,72.6,28.5,…
平成9年平均,1997,,103.1,104.9,1853.3,698.4,108.1,107.8,655940,386106,71.7,28.9,…
平成10年平均,1998,,103.7,105.7,1867.9,687.5,105.8,106,656646,377118,69.2,27.4,…
平成11年平均,1999,,103.4,105.3,1860.6,664.3,104.7,103.9,642848,366762,68.5,28.2,…
平成12年平均,2000,,102.7,104.2,1842.3,664.2,103.9,103.4,643946,372835,69.7,28.9,…
平成13年平均,2001,,101.9,103.1,1822,658,102.8,103,628068,364721,69.8,29.5,…
平成14年平均,2002,,101,102.1,1803.6,645.7,103,102.5,633711,361608,68.2,29.4,…
平成15年平均,2003,,100.7,101.6,1796.2,637.3,102.3,101.5,583065,355982,73.2,29.8,95.1
平成16年平均,2004,,100.7,101.5,1794.4,644.7,102.6,102.9,596372,362122,72.7,30.1,97.1
平成17年平均,2005,,100.4,101,1785.2,665,102.6,103,578340,352303,72.8,29.5,100
平成18年平均,2006,,100.7,101.1,1787,692.7,100.5,100,585818,350664,72.4,29.5,100.6
平成19年平均,2007,,100.7,101.2,1788.8,711.8,101.4,100.7,574514,346256,73,29.9,101.6
平成20年平均,2008,,102.1,102.2,1806.6,736.8,99.5,99.3,581293,343972,72.4,29.2,101.8
平成21年平均,2009,,100.7,101,1785.2,664.6,99.7,99.4,598723,359096,74.1,29.1,97.8
平成22年平均,2010,,100,100,1767.3,668.4,100,100,615748,363141,73.2,28.4,99.5
平成21年２月,2009,2,100.8,101.4,1792.3,663.1,98.7,99.9,516992,328284,77.5,35.1,80.1
平成21年３月,2009,3,101.1,101.7,1797.7,669.6,103.9,104.8,513807,385396,92.8,28.8,83.7
平成21年４月,2009,4,101.2,101.7,1797.7,668,105.7,108.1,567197,413495,90.1,39.2,81.6
平成21年５月,2009,5,101,101.5,1794.1,661.9,95.4,96.6,514932,358824,88.7,29,82.2
平成21年６月,2009,6,100.8,101.1,1787,664.3,95.8,94.3,754781,335838,57.5,27.3,148.6
平成21年７月,2009,7,100.5,100.7,1779.8,666.1,95.9,97,663677,364311,68.9,24.4,107.1
平成21年８月,2009,8,100.8,100.9,1783.4,668.3,97.4,97,540405,351877,80.2,25.9,80.1
平成21年９月,2009,9,100.8,100.8,1781.6,664.8,95.9,95.2,512973,334698,80.6,30.3,79.1
平成21年10月,2009,10,100.4,100.4,1774.5,659.5,96.9,94,519367,331798,77.4,30,80.3
平成21年11月,2009,11,100.2,100.2,1770.9,660.3,99.2,96.5,509747,334079,79.8,27.9,85.5
平成21年12月,2009,12,100,100.1,1769.1,663.4,113.9,110.7,1035661,398412,46.1,23.7,186
平成22年１月,2010,1,100.1,99.8,1760.2,667.8,98.5,99.1,532363,366210,83.3,26.5,81.3
平成22年２月,2010,2,100,99.8,1760.2,666.4,97.7,97.5,556947,326640,70.4,31.4,79.7
平成22年３月,2010,3,100.3,100.3,1767.3,667.6,107.7,108.5,516576,408856,97,26.8,87.6
平成22年４月,2010,4,100.4,100.5,1770.9,678.8,104.4,105.3,571504,395590,85.9,37.4,87.6
平成22年５月,2010,5,100.3,100.3,1769.1,677.7,94.5,93.2,516554,365076,91.5,26.7,82.3
平成22年６月,2010,6,100.1,100,1769.1,671.8,96.5,94.7,884794,339614,50.6,26.4,158.5
平成22年７月,2010,7,99.5,99.3,1758.4,666.6,97,98.2,655849,380661,72.7,23.9,107
平成22年８月,2010,8,99.7,99.7,1765.6,663.1,99.6,100,544261,372466,86,24.4,80.5
平成22年９月,2010,9,99.9,99.9,1770.9,662.5,96.4,98,496141,355543,89.1,30.7,80.8
平成22年10月,2010,10,100.2,100.4,1779.8,661.3,97,98.6,554620,347453,75.7,32.7,80.8
平成22年11月,2010,11,99.9,100.1,1774.5,665.6,99.4,98.6,501996,327969,80.6,28.8,85.3
平成22年12月,2010,12,99.6,99.7,1767.3,671.5,111,108.3,1057373,371618,42.5,25.2,182.7
平成23年１月,2011,1,99.5,99.3,1760.2,676.9,98.3,98.5,481266,346001,89,30.1,82.6
平成23年２月,2011,2,99.5,99.3,1758.4,681.1,98.2,97.4,530984,311607,71.7,34.3,80.6
平成23年３月,2011,3,99.8,99.6,1763.8,685.1,99,97.1,489958,334945,83.5,30.7,86.2
平成23年４月,2011,4,99.9,99.8,1769.1,698.5,102.4,103.8,526199,383447,88.8,38.6,83.5
平成23年５月,2011,5,99.9,99.7,1767.3,696.3,93.5,93,486959,327800,87.1,31,85.9
平成23年６月,2011,6,99.7,99.4,1767.3,693.7,93.2,91.4,803625,315825,50.2,28.6,157.4
平成23年７月,2011,7,99.7,99.4,…,692.7,95,95.6,…,…,…,…,…
,,,,,,,,,,,,,
東京の物価／平成23年8月,,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,,
注1)月々の１世帯当たりの世帯人員別消費支出額を基準年の世帯分布で加重平均し、30.4日（365日÷12）の額に調整した後、   これを平成17年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数,,,,,,,,,,,,,
2)実質賃金指数(現金給与総額）（事業所規模30人以上）=名目賃金指数（現金給与総額）÷東京都区部消費者物価指数（持ち家の帰属家賃を除く総合）×100   　(平成17年＝100),,,,,,,,,,,,,
3)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,,
4)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,,
