年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前年同月比(％)／平成22年1月,2010,1,-2.1,-2.5,-2.3,-0.5,-0.8,-9.8,-6.5,-4,-1.2,0.6,0.6,-3.2,-0.8
前年同月比(％)／平成22年2月,2010,2,-1.8,-2.1,-1.5,-0.5,-0.8,-9.2,-5.9,-3.5,-1,0.3,0.5,-2.7,-0.7
前年同月比(％)／平成22年3月,2010,3,-1.7,-1.9,-1.7,-0.6,-0.7,-8.5,-5.2,-3.2,-1,0.5,0.5,-2.7,-0.3
前年同月比(％)／平成22年4月,2010,4,-1.5,-1.6,-0.3,-0.8,-0.9,-8.8,-4,-2.1,-0.3,0.4,-6.6,-1.2,-0.4
前年同月比(％)／平成22年5月,2010,5,-1.4,-1.5,-1.2,-0.7,-0.6,-3.3,-4.5,-2.4,-0.3,0.7,-6.6,-1.4,-0.4
前年同月比(％)／平成22年6月,2010,6,-1,-1,-0.1,-0.9,-0.7,-1.1,-4.2,-2.2,-0.3,0.3,-6.6,-0.8,-0.2
前年同月比(％)／平成22年7月,2010,7,-1.2,-1.1,-1.1,-1,-0.6,0.9,-3.5,-1,-0.7,-0.3,-6.6,-1.4,-0.5
前年同月比(％)／平成22年8月,2010,8,-1,-1,-1.2,-0.9,-0.8,2.7,-3.7,-1.2,-0.9,-0.1,-6.6,-1.3,-0.3
前年同月比(％)／平成22年9月,2010,9,-0.6,-0.5,0.3,-1,-0.7,4.2,-4.1,-0.4,-0.6,-0.5,-6.6,-1.3,-0.2
前年同月比(％)／平成22年10月,2010,10,0.3,0.7,2,-0.9,-0.7,4.1,-3.4,0.7,-0.1,-0.1,-6.6,-0.6,5.3
前年同月比(％)／平成22年11月,2010,11,0.2,0.5,1.7,-0.7,-0.6,3.1,-3.1,0.3,-0.2,-0.1,-6.6,-0.7,5.5
前年同月比(％)／平成22年12月,2010,12,-0.1,0.1,0.5,-0.7,-0.6,2.2,-2.4,0.2,-0.1,0,-6.6,-0.3,5.6
前年同月比(％)／平成23年1月,2011,1,-0.1,0.1,0,-0.8,-0.6,1.3,-2.3,1.8,0.1,0.4,-6.6,-0.2,5.6
,,,,,,,,,,,,,,,
東京の物価／平成２３年１月,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,
２００５年＝１００／(平成１７年＝１００),,,,,,,,,,,,,,,
