"地区","事業所数[事業所]","従業者数[人]"
"港区合計",38424,778174
"芝支所管内",16690,361092
"麻布支所管内",6326,85287
"赤坂支所管内",10425,165283
"高輪支所管内",2773,43951
"芝浦港南支所管内",2210,122561

"平成16年事業所・企業統計調査港区支所管内別事業所数及び従業者数(簡易調査のため民営事業所のみ) 支所管内別(平成16年6月1日現在)","Ver200406",
