 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"327,132","136,684","3,384,375","1,282,392","92,866","132,543","1,023,646","1,250,155","234,266","4,141","2,360,729","32,237"
,97.6%,108.6%,100.4%,104.6%,94.9%,108.3%,97.8%,104.8%,98.7%,116.5%,101.6%,97.1%
外航計,"304,442","116,299","3,128,883","1,042,507","81,575","114,552","887,621","1,030,734","222,867","1,747","2,241,262","11,773"
,98.3%,115.1%,100.8%,105.0%,96.8%,114.6%,98.7%,105.2%,98.9%,154.6%,101.6%,88.8%
外航定期計,"304,442","116,299","3,128,883","1,042,507","81,575","114,552","887,621","1,030,734","222,867","1,747","2,241,262","11,773"
,98.3%,115.1%,100.8%,105.0%,96.8%,114.6%,98.7%,105.2%,98.9%,154.6%,101.6%,88.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"43,527","20,495","445,221","163,613","16,555","19,407","163,285","160,008","26,972","1,088","281,936","3,605"
,100.2%,138.7%,98.7%,106.6%,99.2%,136.4%,93.2%,108.0%,100.8%,198.2%,102.3%,67.6%
北米東岸(カリビア海含む),"10,326","1,102","116,904","21,096","4,273","1,074","50,591","20,798","6,053",28,"66,313",298
,79.0%,42.1%,90.8%,85.1%,70.5%,42.0%,80.6%,84.4%,86.3%,46.7%,100.6%,222.4%
北欧・地中海,"18,670","1,631","204,499","20,936","6,765","1,590","89,910","20,520","11,905",41,"114,589",416
,87.3%,126.0%,104.5%,92.7%,74.1%,126.9%,106.1%,92.3%,97.1%,100.0%,103.3%,112.1%
南米西岸,"4,831","4,301","37,835","14,799",646,"4,301","2,101","13,590","4,185",-,"35,734","1,209"
,116.1%,582.0%,83.3%,132.4%,422.2%,599.9%,134.2%,125.7%,104.4%,-,81.4%,335.8%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
