（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"3,330,330",96.9%,"33,544,857",100.3%,100.0%
1,中国,"1,451,549",96.3%,"14,137,643",100.0%,42.1%
,(香港),"165,017",75.0%,"1,766,068",101.5%,5.3%
2,アメリカ,"357,541",89.4%,"3,980,131",99.4%,11.9%
3,タイ,"227,982",112.0%,"2,219,632",103.9%,6.6%
4,ベトナム,"181,941",107.8%,"1,836,090",106.2%,5.5%
5,カナダ,"130,142",99.2%,"1,391,779",103.8%,4.1%
6,台湾,"138,941",107.7%,"1,343,235",129.0%,4.0%
7,韓国,"128,561",83.4%,"1,296,344",98.3%,3.9%
8,フィリピン,"103,611",83.5%,"1,078,816",90.1%,3.2%
9,シンガポール,"110,992",103.1%,"1,030,693",97.9%,3.1%
10,マレーシア,"71,192",82.1%,"856,510",93.3%,2.6%
11,インドネシア,"69,119",106.1%,"803,548",104.0%,2.4%
12,ドイツ,"55,621",99.7%,"523,532",97.8%,1.6%
13,オランダ,"46,106",84.3%,"467,890",95.6%,1.4%
14,チリ,"39,846",91.8%,"344,640",77.2%,1.0%
15,ニュージーランド,"31,716",87.8%,"300,020",100.4%,0.9%
16,フランス,"30,519",92.1%,"297,087",103.1%,0.9%
17,メキシコ,"17,831",125.5%,"173,000",97.9%,0.5%
18,イタリア,"17,391",132.9%,"158,565",90.7%,0.5%
19,イギリス,"15,233",89.3%,"150,974",92.7%,0.5%
20,ロシア,"2,751",49.9%,"131,681",131.0%,0.4%
,その他,"101,745",115.9%,"1,023,047",91.7%,3.0%
