 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"7,975,414","83,827,835","1,066,839","12,117,761","1,039,908","11,646,959","3,330,330","33,544,857","3,230,029","32,305,932","1,328,675","14,510,770","2,249,570","23,654,447"
農水産品,,"505,002","5,411,802","17,214","295,383","17,214","294,356","460,030","4,747,310","378,282","3,958,508","12,984","204,388","14,774","164,721"
1,麦,"31,227","336,185",-,18,-,18,"26,027","258,048","2,475","24,667","1,482","14,032","3,718","64,087"
2,米,"4,373","64,930",333,"2,792",333,"2,792",255,"19,153",255,"19,153","2,435","29,920","1,350","13,065"
3,とうもろこし,"1,175","8,013",60,120,60,120,820,"6,339",820,"6,339",295,"1,554",-,-
4,豆類,"7,654","159,538",24,328,24,328,"6,595","140,666","6,595","140,666",510,"14,139",525,"4,405"
5,その他雑穀,925,"7,713",-,19,-,19,870,"6,414",870,"6,414",30,"1,045",25,235
6,野菜・果物,"175,149","1,892,565","4,930","26,618","4,930","26,609","157,352","1,742,047","99,677","1,189,953","5,797","76,249","7,070","47,651"
7,綿花,30,476,-,-,-,-,30,381,30,381,-,85,-,10
8,その他農産品,"23,209","230,340",558,"6,309",558,"6,309","21,861","211,583","21,861","211,583",435,"9,757",355,"2,691"
9,羊毛,50,899,-,-,-,-,50,773,50,773,-,126,-,-
10,その他畜産品,"155,555","1,594,527","3,225","31,467","3,225","31,467","150,897","1,531,600","150,897","1,531,600","1,078","22,979",355,"8,481"
11,水産品,"105,655","1,116,616","8,084","227,712","8,084","226,694","95,273","830,306","94,752","826,979",922,"34,502","1,376","24,096"
林産品,,"97,602","1,168,351","1,968","21,740","1,968","21,740","88,501","1,038,092","81,929","928,262","4,446","81,857","2,687","26,662"
12,原木,328,"6,158",138,"2,614",138,"2,614",190,"3,407",190,"3,407",-,117,-,20
13,製材,"86,200","1,005,253","1,709","18,451","1,709","18,451","79,452","902,355","72,880","792,525","3,176","68,527","1,863","15,920"
14,樹脂類,"6,183","91,046",86,341,86,341,"4,462","72,528","4,462","72,528","1,065","10,130",570,"8,047"
15,木材チップ,"1,147","13,223",6,123,6,123,"1,050","12,286","1,050","12,286",-,23,91,791
16,その他林産品,529,"5,243",20,80,20,80,156,604,156,604,190,"2,730",163,"1,829"
17,薪炭,"3,215","47,428",9,131,9,131,"3,191","46,912","3,191","46,912",15,330,-,55
鉱産品,,"572,597","5,823,545","1,683","16,837","1,683","16,837","29,001","422,443","29,001","289,560","9,652","62,119","532,261","5,322,146"
18,石炭,"5,225","124,385",-,1,-,1,"5,225","113,946","5,225","39,146",-,255,-,"10,183"
19,鉄鉱石,60,259,-,31,-,31,60,228,60,228,-,-,-,-
20,金属鉱,921,"13,503",-,6,-,6,643,"9,428",643,"8,428",278,"4,069",-,-
21,砂利・砂,"415,491","4,073,432",155,844,155,844,"2,096","23,965","2,096","23,965","8,872","44,618","404,368","4,004,005"
22,石材,"101,258","1,057,820",406,"2,895",406,"2,895","8,760","87,153","8,760","87,153",282,"3,073","91,810","964,699"
23,原油,90,"1,928",-,-,-,-,90,"1,890",90,"1,890",-,38,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"32,618","330,763",-,-,-,-,75,"2,654",75,"2,654",20,"1,005","32,523","327,104"
26,原塩,"1,139","12,875",5,29,5,29,794,"9,644",794,"9,644",-,102,340,"3,100"
27,非金属鉱物,"15,795","208,580","1,117","13,031","1,117","13,031","11,258","173,535","11,258","116,452",200,"8,959","3,220","13,055"
金属機械工業品,,"2,627,465","27,583,806","458,943","5,011,026","457,965","4,973,415","820,336","7,810,161","816,572","7,747,293","707,090","7,833,586","641,096","6,929,033"
28,鉄鋼,"6,618","100,682","1,571","46,468","1,571","31,309","3,687","43,743","3,687","38,484",110,786,"1,250","9,685"
