 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,131","16,321,942","22,273","167,480,182",739,"13,845,229","7,599","141,143,394"
外航計,473,"12,113,355","5,013","124,651,917",442,"11,646,896","4,677","119,235,425"
外航定期計,444,"11,683,393","4,686","119,390,472",442,"11,646,896","4,677","119,235,425"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),50,"3,185,221",528,"33,511,722",49,"3,158,029",527,"33,484,530"
北米東岸(カリビア海含む),9,"704,844",96,"7,495,545",9,"704,844",96,"7,495,545"
北欧・地中海,6,"497,784",59,"5,504,870",6,"497,784",58,"5,490,708"
南米西岸,6,"817,483",45,"4,585,195",6,"817,483",45,"4,585,195"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,9,"363,662",115,"3,838,635",9,"363,662",115,"3,838,635"
印パ･ペルシャ･ベンガル,-,-,16,"785,499",-,-,16,"785,499"
東南アジア,150,"3,782,249","1,579","38,429,714",149,"3,772,944","1,573","38,367,938"
台湾,-,-,-,-,-,-,-,-
韓国,51,"442,552",509,"4,577,581",51,"442,552",509,"4,577,581"
中国(香港含む),163,"1,889,598","1,739","20,661,711",163,"1,889,598","1,738","20,609,794"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,29,"429,962",327,"5,261,445",-,-,-,-
内航計,"1,658","4,208,587","17,260","42,828,265",297,"2,198,333","2,922","21,907,969"
内航定期計,528,"2,680,076","5,861","28,902,208",267,"2,015,972","2,748","21,193,532"
北海道,98,"1,117,068","1,094","12,108,843",98,"1,117,068","1,094","12,108,843"
東北,58,"42,192",561,"408,155",57,"41,443",524,"380,442"
関東,99,"28,447","1,049","391,665",-,-,-,-
伊豆諸島,135,"306,372","1,706","3,268,803",-,-,-,-
中部,25,"34,295",246,"307,084",25,"34,295",243,"304,837"
近畿,10,"7,490",99,"74,151",10,"7,490",99,"74,151"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,77,"869,335",847,"9,604,992",51,"540,799",529,"5,586,744"
沖縄,26,"274,877",259,"2,738,515",26,"274,877",259,"2,738,515"
内航不定期,"1,130","1,528,511","11,399","13,926,057",30,"182,361",174,"714,437"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
