 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,975,414 ","83,827,835 ","4,397,169 ","1,066,839 ","3,330,330 ","45,662,618 ","12,117,761 ","33,544,857 ","3,578,245 ","1,328,675 ","2,249,570 ","38,165,217 ","14,510,770 ","23,654,447 "
公共計,"3,673,821 ","38,847,870 ","1,262,308 ","231,252 ","1,031,056 ","13,132,942 ","2,505,598 ","10,627,344 ","2,411,513 ","1,209,612 ","1,201,901 ","25,714,928 ","13,157,205 ","12,557,723 "
ドルフィン,"7,538 ","70,667 ",-,-,-,-,-,-,"7,538 ","7,538 ",-,"70,667 ","70,667 ",-
芝浦ふ頭,"69,705 ","717,199 ",-,-,-,-,-,-,"69,705 ","1,568 ","68,137 ","717,199 ","19,095 ","698,104 "
芝浦物揚場,"7,094 ","82,633 ",-,-,-,-,-,-,"7,094 ","4,866 ","2,228 ","82,633 ","57,094 ","25,539 "
日の出ふ頭,"3,530 ","36,300 ",-,-,-,-,-,-,"3,530 ",-,"3,530 ","36,300 ",610 ,"35,690 "
竹芝ふ頭,"6,903 ","75,274 ",-,-,-,-,-,-,"6,903 ","4,793 ","2,110 ","75,274 ","50,481 ","24,793 "
品川岸壁,"685,612 ","7,256,871 ","406,440 ","81,015 ","325,425 ","4,078,637 ","917,917 ","3,160,720 ","279,172 ","164,720 ","114,452 ","3,178,234 ","1,900,725 ","1,277,509 "
 品川コンテナ,"405,078 ","3,994,248 ","405,078 ","80,795 ","324,283 ","3,994,181 ","903,744 ","3,090,437 ",-,-,-,67 ,7 ,60 
 品川外貿,"1,362 ","84,456 ","1,362 ",220 ,"1,142 ","84,456 ","14,173 ","70,283 ",-,-,-,-,-,-
 品川内貿,"279,172 ","3,178,167 ",-,-,-,-,-,-,"279,172 ","164,720 ","114,452 ","3,178,167 ","1,900,718 ","1,277,449 "
月島ふ頭,"1,353 ","15,662 ",-,-,-,-,-,-,"1,353 ",701 ,652 ,"15,662 ","7,025 ","8,637 "
10号西岸壁,"596,611 ","5,857,141 ",-,-,-,-,-,-,"596,611 ","352,756 ","243,855 ","5,857,141 ","3,426,468 ","2,430,673 "
10号東岸壁,"37,099 ","354,009 ",-,-,-,-,-,-,"37,099 ",99 ,"37,000 ","354,009 ","1,280 ","352,729 "
東京港フェリーふ頭,"881,595 ","9,968,425 ",-,-,-,-,-,-,"881,595 ","456,460 ","425,135 ","9,968,425 ","5,219,900 ","4,748,525 "
辰巳ふ頭,"30,656 ","342,482 ",-,-,-,-,-,-,"30,656 ","13,286 ","17,370 ","342,482 ","140,960 ","201,522 "
青海コンテナふ頭（公共）,"826,345 ","8,572,526 ","817,192 ","150,237 ","666,955 ","8,427,760 ","1,586,663 ","6,841,097 ","9,153 ","2,825 ","6,328 ","144,766 ","86,864 ","57,902 "
大井水産物ふ頭,-,"4,792 ",-,-,-,"4,489 ","1,018 ","3,471 ",-,-,-,303 ,160 ,143 
大井食品ふ頭（OL）,"26,945 ","293,723 ","23,552 ",-,"23,552 ","232,716 ",-,"232,716 ","3,393 ",-,"3,393 ","61,007 ",30 ,"60,977 "
大井食品ふ頭（OM）,"9,734 ","113,320 ","9,734 ",-,"9,734 ","113,320 ",-,"113,320 ",-,-,-,-,-,-
大井食品ふ頭（ON）,521 ,"14,453 ",521 ,-,521 ,"14,453 ",-,"14,453 ",-,-,-,-,-,-
若洲内貿ふ頭,"54,046 ","593,172 ",-,-,-,-,-,-,"54,046 ","41,140 ","12,906 ","593,172 ","428,058 ","165,114 "
15号地木材ふ頭,"4,869 ","85,248 ","4,869 ",-,"4,869 ","81,242 ",-,"81,242 ",-,-,-,"4,006 ","4,006 ",-
若洲建材ふ頭,"79,576 ","604,883 ",-,-,-,-,-,-,"79,576 ","8,575 ","71,001 ","604,883 ","38,646 ","566,237 "
大井建材ふ頭,"151,927 ","1,432,757 ",-,-,-,-,-,-,"151,927 ","1,986 ","149,941 ","1,432,757 ","3,786 ","1,428,971 "
城南島建設発生土ふ頭,"53,630 ","976,614 ",-,-,-,-,-,-,"53,630 ","53,630 ",-,"976,614 ","976,614 ",-
中央防波堤内側ばら物ふ頭,"4,541 ","221,236 ",-,-,-,"180,325 ",-,"180,325 ","4,541 ","4,541 ",-,"40,911 ","10,229 ","30,682 "
中央防波堤内側建設発生土ふ頭,"43,988 ","252,814 ",-,-,-,-,-,-,"43,988 ","43,988 ",-,"252,814 ","252,814 ",-
中央防波堤内側内貿ふ頭,"90,003 ","903,919 ",-,-,-,-,-,-,"90,003 ","46,140 ","43,863 ","903,919 ","461,693 ","442,226 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"3,006,353 ","31,634,015 ","2,891,617 ","799,878 ","2,091,739 ","30,196,398 ","9,151,799 ","21,044,599 ","114,736 ","46,630 ","68,106 ","1,437,617 ","701,851 ","735,766 "
青海コンテナふ頭(埠頭㈱),"592,938 ","6,555,359 ","585,501 ","120,602 ","464,899 ","6,453,096 ","1,385,983 ","5,067,113 ","7,437 ","6,865 ",572 ,"102,263 ","94,133 ","8,130 "
お台場ライナーふ頭,"61,553 ","821,609 ","40,803 ","26,015 ","14,788 ","646,949 ","446,499 ","200,450 ","20,750 ",849 ,"19,901 ","174,660 ","15,529 ","159,131 "
大井コンテナふ頭,"2,351,862 ","24,257,047 ","2,265,313 ","653,261 ","1,612,052 ","23,096,353 ","7,319,317 ","15,777,036 ","86,549 ","38,916 ","47,633 ","1,160,694 ","592,189 ","568,505 "
民間計,"1,295,240 ","13,345,950 ","243,244 ","35,709 ","207,535 ","2,333,278 ","460,364 ","1,872,914 ","1,051,996 ","72,433 ","979,563 ","11,012,672 ","651,714 ","10,360,958 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
