 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,26,318,26,318,
,総トン数,,"328,536","4,018,248","328,536","4,018,248",
取扱貨物,計,計,"881,595","9,968,425","881,595","9,968,425",
,,出荷,"456,460","5,219,900","456,460","5,219,900",
,,入荷,"425,135","4,748,525","425,135","4,748,525",
取　扱　台　数,バ　ス,計,5,138,5,138,
,,出荷,1,65,1,65,
,,入荷,4,73,4,73,
,トラック,計,"8,028","89,775","8,028","89,775",
,,出荷,"4,194","47,331","4,194","47,331",
,,入荷,"3,834","42,444","3,834","42,444",
,乗用車,計,"4,500","56,862","4,500","56,862",
,,出荷,"2,782","34,452","2,782","34,452",
,,入荷,"1,718","22,410","1,718","22,410",
乗降人員,計,,"2,660","33,111","2,660","33,111",
,乗船,,"1,361","16,600","1,361","16,600",
,降船,,"1,299","16,511","1,299","16,511",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
