 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,975,414","2,395,514","5,579,900","83,827,835","26,628,531","57,199,304","5,447,661","1,683,860","3,763,801","56,137,174","18,479,170","37,658,004"
外航計,"4,397,169","1,066,839","3,330,330","45,662,618","12,117,761","33,544,857","4,310,546","1,040,837","3,269,709","44,357,887","11,668,803","32,689,084"
外航定期計,"4,321,798","1,041,049","3,280,749","44,422,355","11,685,337","32,737,018","4,310,546","1,040,837","3,269,709","44,357,887","11,668,803","32,689,084"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"601,109","194,610","406,499","6,260,981","2,084,583","4,176,398","596,240","194,610","401,630","6,256,112","2,084,583","4,171,529"
北米東岸(カリビア海含む),"143,935","54,155","89,780","1,535,611","566,303","969,308","143,935","54,155","89,780","1,535,611","566,303","969,308"
北欧・地中海,"258,157","87,966","170,191","2,823,658","1,208,521","1,615,137","258,157","87,966","170,191","2,823,643","1,208,521","1,615,122"
南米西岸,"68,292","8,718","59,574","536,206","26,294","509,912","68,292","8,718","59,574","536,206","26,294","509,912"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"66,003","6,822","59,181","718,910","106,730","612,180","66,003","6,822","59,181","718,910","106,730","612,180"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,807,886","449,720","1,358,166","18,237,202","4,756,662","13,480,540","1,801,503","449,508","1,351,995","18,185,469","4,740,128","13,445,341"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"185,241","46,326","138,915","1,834,295","502,312","1,331,983","185,241","46,326","138,915","1,834,295","502,312","1,331,983"
中国(香港含む),"1,191,175","192,732","998,443","12,146,616","2,171,122","9,975,494","1,191,175","192,732","998,443","12,138,765","2,171,122","9,967,643"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"75,371","25,790","49,581","1,240,263","432,424","807,839",-,-,-,-,-,-
内航計,"3,578,245","1,328,675","2,249,570","38,165,217","14,510,770","23,654,447","1,137,115","643,023","494,092","11,779,287","6,810,367","4,968,920"
内航定期計,"2,026,805","1,112,050","914,755","21,800,099","11,991,296","9,808,803","1,087,345","624,550","462,795","11,206,219","6,435,911","4,770,308"
北海道,"390,984","214,043","176,941","4,279,479","2,394,391","1,885,088","390,984","214,043","176,941","4,279,479","2,394,391","1,885,088"
東北,"26,657","12,744","13,913","343,068","168,034","175,034","26,657","12,744","13,913","323,123","160,258","162,865"
関東,"50,962","26,247","24,715","525,618","277,228","248,390",-,-,-,-,-,-
伊豆諸島,"6,903","4,793","2,110","77,674","50,481","27,193",-,-,-,-,-,-
中部,"14,626","3,733","10,893","131,563","25,005","106,558","14,626","3,733","10,893","129,345","25,005","104,340"
近畿,"5,967",134,"5,833","41,220","1,731","39,489","5,967",134,"5,833","41,220","1,731","39,489"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,408,337","758,473","649,864","15,113,125","8,114,015","6,999,110","526,742","302,013","224,729","5,144,700","2,894,115","2,250,585"
沖縄,"122,369","91,883","30,486","1,288,352","960,411","327,941","122,369","91,883","30,486","1,288,352","960,411","327,941"
内航不定期,"1,551,440","216,625","1,334,815","16,365,118","2,519,474","13,845,644","49,770","18,473","31,297","573,068","374,456","198,612"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
