【図書館の利用状況等】,,,,,,,,,,,,,,,,,,,,,平成28年度
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,全館合計,高野台受取窓口,豊玉受取窓口,石神井公園駅受取窓口,大泉学園駅受取窓口,合計
個人利用登録者数,,人,41852,29716,26272,15502,20574,12922,22492,6606,12180,10835,2424,13029,6984,221388,42,110,279,989,222808
団体利用登録数,,団体,244,135,106,160,166,167,77,89,88,85,14,81,113,1525,0,0,0,0,1525
来館者数,,人,751316,541269,365731,278095,333940,102925,762432,121347,245529,242174,68264,398223,232449,4443694,0,0,0,0,4443694
貸出,個人貸出者数,人,392935,223799,197519,164170,172406,87748,220639,60022,127240,135086,29995,184397,119142,2115098,12372,17624,64112,53719,2262925
貸出,個人貸出点数合計,点,1154394,636678,620133,508570,532704,230389,586669,194449,378398,427865,114190,507308,349939,6241686,27215,37260,130157,110038,6546356
貸出,一般図書,冊,999932,556916,562110,450287,473161,193922,515882,169131,325545,377959,110551,443588,302160,5481144,23719,32510,114678,96625,5748676
貸出,点字図書・録音図書,組,2119,0,0,0,0,0,0,0,0,0,0,0,0,2119,0,0,0,0,2119
貸出,雑誌,冊,51389,22899,14996,20355,21013,10455,23380,12539,13848,18015,2365,19815,15698,246767,1132,1243,5650,4079,258871
貸出,点字雑誌・録音雑誌,組,3392,0,0,0,0,0,0,0,0,0,0,0,0,3392,0,0,0,0,3392
貸出,CD・カセットテープ・レコード,組,94712,56667,42847,37797,38181,25829,47218,12692,38911,31699,1215,43703,31996,503467,2349,3470,9674,9206,528166
貸出,DVD・ビデオ・その他,組,2844,196,180,131,349,183,189,87,94,192,59,202,85,4791,15,37,155,128,5126
貸出,視覚障害者CD・カセットテープ,組,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
貸出,団体貸出点数,点,15357,8175,11129,17259,19576,5947,9844,13964,9582,10480,1216,13310,14688,150527,0,0,0,0,150527
貸出,協力貸出点数,点,4618,590,806,442,626,95,596,314,295,202,11,319,282,9196,0,0,0,0,9196
貸出予約,個人貸出予約数合計,点,306698,211666,141742,148659,133346,157201,198498,44877,133842,118234,20734,149095,86862,1851454,26164,36636,127900,104374,2146528
貸出予約,図書等,冊,257992,171796,116485,123701,107822,125579,162245,36803,104120,93650,18298,124881,70427,1513799,22344,31757,111166,89077,1768143
貸出予約,雑誌等,冊,13273,9064,5669,7210,6875,7279,9751,2703,6268,6073,919,7940,4373,87397,1223,1099,5782,4243,99744
貸出予約,CD・ビデオ等,点,35433,30806,19588,17748,18649,24343,26502,5371,23454,18511,1517,16274,12062,250258,2597,3780,10952,11054,278641
貸出予約,団体貸出予約数,点,1495,2146,2396,7767,15629,5167,3999,4089,3682,6698,47,5510,2345,60970,0,0,0,0,60970
貸出予約,協力貸出予約数,点,2878,844,1025,174,839,471,784,394,355,236,14,412,321,8747,0,0,0,0,8747
対面朗読数,,時間,30,150,6,0,540,0,770,0,0,0,0,694,0,2190,0,0,0,0,2190
会議室利用数,,件,131,125,6,79,97,0,0,29,24,0,0,327,30,848,0,0,0,0,848
視聴覚室利用数,,件,90,0,0,136,47,265,0,0,0,0,0,0,0,538,0,0,0,0,538
ギャラリー利用数,,日,0,0,0,0,0,0,0,0,0,0,0,74,0,74,0,0,0,0,74
図書館開館日数,,日,313,315,315,309,315,305,315,314,315,314,314,315,317,4076,0,0,0,0,4076
※光が丘には外出困難障害者郵送サービス分を含む。,,,,,,,,,,,,,,,,,,,,,
