【図書館の利用状況等】,,,,,,,,,,,,,,,,,,,,,,令和２年度
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,高野台受取窓口,豊玉受取窓口,石神井公園駅受取窓口,大泉学園駅受取窓口,北町受取窓口,上石神井受取窓口,合計
個人利用登録者数,,人,39320,26162,23155,15718,15668,15393,19620,5809,11114,8574,3385,11747,7069,511,658,3058,4056,672,934,212623
団体利用登録数,,団体,195,154,104,135,139,150,70,85,79,83,24,69,111,-,-,-,-,-,-,1398
来館者数,,人,503486,314993,243204,200217,193538,216083,470245,80734,174241,145317,43650,252460,139507,13602,20827,66771,51456,13853,18699,3162883
貸出,個人貸出者数,人,278717,159492,134357,125416,112534,129155,165528,42998,104197,88830,22484,129434,83425,14672,22377,71646,57425,13837,21761,1778285
貸出,個人貸出点数合計,点,897536,509581,484182,431207,386532,422619,497010,151006,345197,299422,97820,396949,265558,38029,54750,169959,130973,35624,54684,5668638
貸出,一般図書,冊,778900,453012,448879,388358,344855,371687,445430,133010,300792,265436,94446,354255,233601,34219,48865,153937,117626,30686,45360,5043354
貸出,点字図書・録音図書,組,1798,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1798
貸出,雑誌,冊,36896,16770,10628,15261,17849,17489,18091,8299,11816,13492,1744,14729,12427,1474,1798,6166,4530,1128,1734,212321
貸出,点字雑誌・録音雑誌,組,1798,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1798
貸出,マルチメディアデイジー,組,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
貸出,CD・カセットテープ・レコード,組,65255,39045,24160,26944,23191,32611,32471,9507,31892,20153,1506,27413,19140,2181,3872,9407,8416,3627,7288,388079
貸出,DVD・ビデオ・その他,組,12487,754,515,644,637,832,1006,190,697,341,124,552,390,155,215,449,401,183,302,20874
貸出,視覚障害者CD・カセットテープ,組,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
貸出,団体貸出点数,点,9330,20470,9467,17810,19255,11214,8273,10349,9528,5423,1196,9455,6554,-,-,-,-,-,-,138324
貸出,協力貸出点数,点,4663,531,1190,561,673,380,567,310,254,187,10,344,545,-,-,-,-,-,-,10215
貸出予約,個人貸出予約数合計,点,292656,202531,124239,148394,120888,167260,197835,48039,144423,103385,30304,137966,89265,32520,48170,147987,111910,32735,48678,2229185
貸出予約,図書等,冊,251117,172303,108725,128953,102547,138681,168438,40885,117073,86681,27900,119437,76792,29114,42613,133442,99417,27672,39635,1911425
貸出予約,雑誌等,冊,10722,6252,3699,4723,5959,6549,7691,2093,4729,4641,742,6005,3836,1192,1467,5105,3956,1081,1463,81905
貸出予約,CD・DVD・ビデオ等,点,30817,23976,11815,14718,12382,22030,21706,5061,22621,12063,1662,12524,8637,2214,4090,9440,8537,3982,7580,235855
貸出予約,団体貸出予約数,点,185,10812,4682,6245,15033,2616,3231,809,3044,2423,284,4601,125,-,-,-,-,-,-,54090
貸出予約,協力貸出予約数,点,2820,558,1252,582,699,401,584,325,260,193,11,361,280,-,-,-,-,-,-,8326
対面朗読数,,時間,8,0,0,0,386,0,598,-,-,-,-,254,-,-,-,-,-,-,-,1246
会議室利用数,,件,141,98,167,210,165,5,-,7,39,-,-,250,18,-,-,-,-,-,-,1100
視聴覚室利用数,,件,66,-,-,-,161,55,207,-,-,-,-,-,-,-,-,-,-,-,-,489
ギャラリー利用数,,日,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0
図書館開館日数,,日,269,271,271,271,271,271,271,271,270,271,271,275,273,275,260,275,275,275,275,5161
※光が丘には外出困難障害者郵送サービス分を含む。,,,,,,,,,,,,,,,,,,,,,,
