【図書館の利用状況等】,,,,,,,,,,,,,,,,,,,,,,平成30年度
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,高野台受取窓口,豊玉受取窓口,石神井公園駅受取窓口,大泉学園駅受取窓口,北町受取窓口,上石神井受取窓口,合計
個人利用登録者数,,人,37435,25148,22463,15214,16267,13470,19695,5829,10553,9029,2932,11411,6574,340,483,2280,2796,319,558,202796
団体利用登録数,,団体,183,105,98,131,134,137,64,67,76,74,18,66,112,-,-,-,-,-,-,1265
来館者数,,人,660804,509647,334365,267588,303532,296364,742758,115262,238182,211227,67692,389131,218707,12729,22224,79803,61166,10782,18884,4560847
貸出,個人貸出者数,人,364705,206412,181762,154821,154722,152947,212987,57339,124597,120354,29836,171962,106813,13052,21249,71542,59311,10188,17762,2232361
貸出,個人貸出点数合計,点,1102692,605090,593361,497070,492176,472743,582700,188888,386612,387288,117861,484407,324482,29754,45943,153612,124077,24059,40828,6653643
貸出,一般図書,冊,948878,538335,544037,444855,438865,411777,517721,165804,330395,344771,113578,426125,282774,25865,39627,137706,109190,20062,33092,5873457
貸出,点字図書・録音図書,組,2140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2140
貸出,雑誌,冊,46158,20065,13941,18557,20055,21594,21980,10728,13739,15841,2671,17673,14773,1299,1583,6023,4387,765,1306,253138
貸出,点字雑誌・録音雑誌,組,3125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3125
貸出,マルチメディアデイジー,組,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
貸出,CD・カセットテープ・レコード,組,90996,45537,34652,33145,32334,38833,42448,12204,41803,26148,1484,40222,26512,2403,4597,9579,10115,3126,6308,502446
貸出,DVD・ビデオ・その他,組,11386,1153,731,513,922,539,551,152,675,528,128,387,423,187,136,304,385,106,122,19328
貸出,視覚障害者CD・カセットテープ,組,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
貸出,団体貸出点数,点,13947,10745,12983,18531,19169,11270,11087,11971,11265,7214,1341,10481,12965,-,-,-,-,-,-,152969
貸出,協力貸出点数,点,4360,500,944,486,539,344,456,213,257,155,11,277,253,-,-,-,-,-,-,8795
貸出予約,個人貸出予約数合計,点,258444,176039,112251,124216,112976,141592,175160,38779,122490,97117,21077,128124,74110,25179,39057,131923,103788,22054,36682,1941058
貸出予約,図書等,冊,216578,146420,93526,105099,91513,112021,145233,31591,91862,78356,18499,106806,61336,21387,33278,117127,88987,18275,28921,1606815
貸出予約,雑誌等,冊,11086,6715,4225,4606,6066,6651,7815,2021,5484,4340,989,6412,3696,1137,1293,5146,3917,650,1095,83344
貸出予約,CD・DVD・ビデオ等,点,30780,22904,14500,14511,15397,22920,22112,5167,25144,14421,1589,14906,9078,2655,4486,9650,10884,3129,6666,250899
貸出予約,団体貸出予約数,点,1216,3253,3196,7204,15607,2516,4827,1551,2648,4432,192,4767,675,-,-,-,-,-,-,52084
貸出予約,協力貸出予約数,点,2905,791,1252,620,832,415,692,331,360,275,19,434,361,-,-,-,-,-,-,9287
対面朗読数,,時間,2,94,0,0,550,0,976,-,-,-,-,462,-,-,-,-,-,-,-,2084
会議室利用数,,件,106,149,69,180,71,25,-,45,26,-,-,330,23,-,-,-,-,-,-,1024
視聴覚室利用数,,件,189,-,-,-,94,109,250,-,-,-,-,-,-,-,-,-,-,-,-,642
ギャラリー利用数,,日,-,-,-,-,-,-,-,-,-,-,-,55,-,-,-,-,-,-,-,55
図書館開館日数,,日,310,310,310,310,311,310,311,310,310,310,310,311,311,310,296,310,310,310,310,5880
※光が丘には外出困難障害者郵送サービス分を含む。,,,,,,,,,,,,,,,,,,,,,,
