【図書館の利用状況等】,,,,,,,,,,,,,,,,,,,,,,平成29年度
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,高野台受取窓口,豊玉受取窓口,石神井公園駅受取窓口,大泉学園駅受取窓口,北町受取窓口,上石神井受取窓口,合計
個人利用登録者数,,人,41824,29794,26318,16808,20163,13923,22646,6496,12031,10614,2827,13011,7152,59,162,403,1301,86,67,225685
団体利用登録数,,団体,250,144,112,165,174,187,86,92,89,86,17,82,119,0,0,0,0,0,0,1603
来館者数,,人,709510,533940,362312,276857,318297,280468,761795,123351,238066,228128,69183,385774,224699,0,0,0,0,0,0,4512380
貸出,個人貸出者数,人,377301,215986,189233,158877,165417,152548,216434,59947,126101,125019,31048,177518,111126,12183,19578,69733,57298,3995,7453,2276795
貸出,個人貸出点数合計,点,1121328,622567,599216,496178,512366,464601,579384,193292,379654,394348,118350,487351,331234,27597,41774,145125,116666,8769,16777,6656577
貸出,一般図書,冊,972722,550089,542001,443023,458069,401895,512868,168762,325521,348777,114052,425889,287084,23868,36520,130191,102427,7224,13862,5864844
貸出,点字図書・録音図書,組,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2215
貸出,雑誌,冊,48129,21187,14798,19510,20006,21578,22793,11769,14244,16662,2482,19387,15165,1115,1335,5254,4584,221,627,260846
貸出,点字雑誌・録音雑誌,組,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3367
貸出,マルチメディアデイジー,組,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
貸出,CD・カセットテープ・レコード,組,88471,50853,41905,33351,33587,40697,43400,12603,39461,28449,1694,41728,28701,2542,3808,9461,9495,1308,2209,513723
貸出,DVD・ビデオ・その他,組,6417,438,512,294,704,431,323,158,428,460,122,347,284,72,111,219,160,16,79,11575
貸出,視覚障害者CD・カセットテープ,組,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
貸出,団体貸出点数,点,14057,11306,11777,18021,20178,10195,12236,11781,10606,9931,1759,10444,11881,0,0,0,0,0,0,154172
貸出,協力貸出点数,点,4898,700,1050,539,741,344,602,270,309,230,15,373,322,0,0,0,0,0,0,10393
貸出予約,個人貸出予約数合計,点,253777,179226,118832,122553,112781,138518,172696,41316,116985,96329,20277,124979,76371,23977,34801,124718,96069,8430,15606,1878241
貸出予約,図書等,冊,213053,147142,95932,102963,92223,109608,141574,33971,89213,76573,17566,104004,62016,20415,29978,110855,82174,6815,12765,1548840
貸出予約,雑誌等,冊,11199,7174,4840,5396,5827,7088,8537,2322,5705,4658,890,6909,3878,999,1086,4603,4144,223,570,86048
貸出予約,CD・DVD・ビデオ等,点,29525,24910,18060,14194,14731,21822,22585,5023,22067,15098,1821,14066,10477,2563,3737,9260,9751,1392,2271,243353
貸出予約,団体貸出予約数,点,1242,3909,2662,6716,15098,4899,4793,2649,3803,6224,56,4528,1050,0,0,0,0,0,0,57629
貸出予約,協力貸出予約数,点,2473,650,850,476,663,111,615,325,302,206,11,330,293,0,0,0,0,0,0,7305
対面朗読数,,時間,10,57,0,0,512,6,1131,0,0,0,0,604,0,0,0,0,0,0,0,2320
会議室利用数,,件,158,123,0,183,161,16,0,21,28,0,0,351,21,0,0,0,0,0,0,1062
視聴覚室利用数,,件,96,0,0,0,186,88,265,0,0,0,0,0,0,0,0,0,0,0,0,635
ギャラリー利用数,,日,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,70
図書館開館日数,,日,313,315,315,314,315,309,315,314,315,314,314,315,317,0,0,0,0,0,0,4085
※光が丘には外出困難障害者郵送サービス分を含む。,,,,,,,,,,,,,,,,,,,,,,
