【図書館の利用状況等】,,,,,,,,,,,,,,,,,,,,,,令和元年度
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,高野台受取窓口,豊玉受取窓口,石神井公園駅受取窓口,大泉学園駅受取窓口,北町受取窓口,上石神井受取窓口,合計
個人利用登録者数,,人,43119,28649,25562,17162,18057,15587,22006,6521,12093,10009,3483,13027,7601,416,578,2881,3565,488,749,231553
団体利用登録数,,団体,189,124,101,132,141,145,69,70,78,85,19,68,114,-,-,-,-,-,-,1335
来館者数,,人,681449,480386,335926,264116,287511,295364,717401,111684,231016,213897,63696,374900,210666,14682,25549,82681,65926,14377,22870,4494097
貸出,個人貸出者数,人,348918,199206,174538,149465,142630,151404,205552,52680,119458,112899,28087,161621,103811,13904,22832,73913,62102,12716,21358,2157094
貸出,個人貸出点数合計,点,1116546,617705,606933,508415,486421,493787,594578,184328,388146,387521,119517,480423,329241,34843,53028,171103,135797,32730,52403,6793465
貸出,一般図書,冊,966586,549687,559862,457398,433973,435376,531444,162337,338318,345720,115472,424575,289902,29965,45966,153949,120403,26531,43415,6030879
貸出,点字図書・録音図書,組,2194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2194
貸出,雑誌,冊,46422,19696,13788,18086,20470,20749,20978,10169,12613,15375,2333,17258,14359,1458,2009,6221,4376,1302,1572,249234
貸出,点字雑誌・録音雑誌,組,2575,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2575
貸出,マルチメディアデイジー,組,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
貸出,CD・カセットテープ・レコード,組,84613,47213,32394,32152,31219,36911,41150,11625,36583,25823,1589,38137,24599,3255,4839,10416,10648,4767,7093,485026
貸出,DVD・ビデオ・その他,組,14156,1109,889,779,759,751,1006,197,632,603,123,453,381,165,214,517,370,130,323,23557
貸出,視覚障害者CD・カセットテープ,組,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
貸出,団体貸出点数,点,14460,11361,12151,20261,19722,11968,11019,13555,9583,5847,1825,9602,10768,-,-,-,-,-,-,152122
貸出,協力貸出点数,点,4724,562,1206,531,703,394,560,243,265,200,17,296,814,-,-,-,-,-,-,10515
貸出予約,個人貸出予約数合計,点,284700,197685,123501,135584,118262,158309,192762,43190,131472,106902,25239,137181,79613,30520,44638,146434,114477,28884,46269,2145622
貸出予約,図書等,冊,242509,165651,105319,116322,97673,129979,161147,35503,104290,86767,22706,115235,66254,25898,38144,130638,99393,23784,37468,1804680
貸出予約,雑誌等,冊,10987,6846,4004,4598,6308,6347,8240,2304,4843,4737,845,6358,4030,1174,1584,5123,4001,1146,1350,84825
貸出予約,CD・DVD・ビデオ等,点,31204,25188,14178,14664,14281,21983,23375,5383,22339,15398,1688,15588,9329,3448,4910,10673,11083,3954,7451,256117
貸出予約,団体貸出予約数,点,1206,3354,3271,8614,15472,2554,5347,1487,1496,3282,584,3499,314,-,-,-,-,-,-,50480
貸出予約,協力貸出予約数,点,4258,1050,2150,1008,1221,733,987,418,496,343,28,542,548,-,-,-,-,-,-,13782
対面朗読数,,時間,6,48,0,0,532,0,1024,-,-,-,-,298,-,-,-,-,-,-,-,1908
会議室利用数,,件,191,173,119,216,191,25,0,45,43,-,-,320,28,-,-,-,-,-,-,1351
視聴覚室利用数,,件,128,-,-,-,194,90,238,-,-,-,-,-,-,-,-,-,-,-,-,650
ギャラリー利用数,,日,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,35
図書館開館日数,,日,310,312,312,312,312,312,312,312,312,312,312,312,314,316,302,316,316,316,316,5938
※光が丘には外出困難障害者郵送サービス分を含む。,,,,,,,,,,,,,,,,,,,,,,
