【図書館の利用状況等】,,,,,,,,,,,,,,,,,
種別,詳細,単位,光が丘,練  馬,石神井,平和台,大  泉,関  町,貫  井,稲荷山,小  竹,南大泉,南大泉分室,春日町,南田中,受取窓口,全館総合計
個人利用登録者数,,人,40173,26291,23515,15679,15613,15318,19890,5970,11322,8658,3597,11824,7305,10755,215910
団体利用登録数,,団体,185,149,101,141,137,144,66,87,82,80,22,76,116,-,1386
来館者数,,人,612724,385545,291762,231827,234918,263243,562060,99914,206671,175928,55331,298938,167354,212655,3798870
貸出,個人貸出者数,人,338144,191465,165563,147978,132942,154897,198738,53044,121456,107380,29151,149500,101712,238725,2130695
貸出,個人貸出点数,点,1092435,606752,601569,511037,460094,515477,597834,187461,404422,365607,132330,455624,323382,559019,6813043
貸出,一般図書,冊,963861,545609,562354,464755,413741,458576,542926,167444,355979,324559,128512,411000,287872,500317,6127505
貸出,点字図書・録音図書,組,1759,-,-,-,-,-,-,-,-,-,-,-,-,-,1759
貸出,雑誌,冊,42120,19073,12911,17005,20207,20529,20420,9516,12622,16327,1974,16543,14622,18818,242687
貸出,点字雑誌・録音雑誌,組,2116,-,-,-,-,-,-,-,-,-,-,-,-,-,2116
貸出,ﾏﾙﾁﾒﾃﾞｨｱﾃﾞｲｼﾞｰ  ,組,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0
貸出,ＣＤ・ｶｾｯﾄﾃｰﾌﾟ・ﾚｺｰﾄﾞ,組,68440,41174,25676,28655,25595,35306,33667,10333,34892,24285,1708,27447,20567,37935,415680
貸出,DVD・ビデオ・その他,組,14135,896,628,622,551,1066,821,168,929,436,136,634,321,1949,23292
貸出,視覚障害者CD・ｶｾｯﾄﾃｰﾌﾟ,組,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4
貸出,団体貸出点数,点,11080,16004,10477,13377,23011,12531,9733,8550,9584,3948,1502,11126,6729,-,137652
貸出,協力貸出点数,点,4121,456,1147,501,626,312,461,267,206,126,11,255,257,-,8746
予約,個人予約,点,321623,221017,135054,163392,125309,185454,220067,52426,155132,114657,33407,142780,94322,474767,2439407
予約,図書等,冊,281944,189596,120126,143210,107576,154754,190729,44974,125287,95088,30905,124960,81371,421287,2111807
予約,雑誌等,冊,11150,6886,4112,4827,5823,7018,7997,1995,4827,5515,717,5937,3919,15412,86135
予約,ＣＤ・DVD・ビデオ等,点,28529,24535,10816,15355,11910,23682,21341,5457,25018,14054,1785,11883,9032,38068,241465
予約,団体予約,点,526,4401,4124,3586,16920,2936,5159,769,2931,1662,150,5762,80,-,49006
予約,協力予約,点,2078,491,1186,522,655,323,469,271,217,133,14,267,269,-,6895
対面朗読数,,時間,4,42,-,-,462,2,616,-,-,-,-,250,-,-,1376
会議室利用数,,件,146,85,145,137,195,20,-,10,47,-,-,267,24,-,1076
視聴覚室利用数,,件,57,-,-,-,164,83,226,-,-,-,-,-,-,-,530
ギャラリー利用数,,日,-,-,-,-,-,-,-,-,-,-,-,25,-,-,25
図書館開館日数,,日,313,315,315,314,315,314,315,314,315,314,314,315,317,1900,5990
※光が丘には外出困難障害者郵送サービス分を含む,,,,,,,,,,,,,,,,,
