階層コード,地域コード,地域,人口総数／平成13年９月１日,人口総数／平成13年８月１日,人口総数／平成12年９月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12218804,12210097,12111487,8707,0.07,107317,0.89
1,13100,区部,8287767,8282673,8213167,5094,0.06,74600,0.91
1,13200,市部,3838286,3834703,3805250,3583,0.09,33036,0.87
1,13300,郡部,61441,61370,61327,71,0.12,114,0.19
1,13350,島部,31310,31351,31743,-41,-0.13,-433,-1.36
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年９月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
