階層コード,地域コード,地域,人口総数／平成13年1月１日,人口総数／平成12年12月１日,人口総数／平成12年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12129183,12128383,12036999,800,0.01,92184,0.77
1,13100,区部,8223608,8223707,8160619,-99,0,62989,0.77
1,13200,市部,3812399,3811416,3783053,983,0.03,29346,0.78
1,13300,郡部,61494,61530,61439,-36,-0.06,55,0.09
1,13350,島部,31682,31730,31888,-48,-0.15,-206,-0.65
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年1月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
