階層コード,地域コード,地域,人口総数／平成13年７月１日,人口総数／平成13年６月１日,人口総数／平成12年７月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12203643,12198702,12101851,4941,0.04,101792,0.84
1,13100,区部,8278175,8275539,8207539,2636,0.03,70636,0.86
1,13200,市部,3832793,3830478,3801241,2315,0.06,31552,0.83
1,13300,郡部,61311,61312,61305,-1,0,6,0.01
1,13350,島部,31364,31373,31766,-9,-0.03,-402,-1.27
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年７月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
