階層コード,地域コード,地域,人口総数／平成13年８月１日,人口総数／平成13年７月１日,人口総数／平成12年８月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12210097,12203643,12104866,6454,0.05,105231,0.87
1,13100,区部,8282673,8278175,8209568,4498,0.05,73105,0.89
1,13200,市部,3834703,3832793,3802192,1910,0.05,32511,0.86
1,13300,郡部,61370,61311,61326,59,0.1,44,0.07
1,13350,島部,31351,31364,31780,-13,-0.04,-429,-1.35
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年８月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
