階層コード,地域コード,地域,人口総数／平成13年２月１日,人口総数／平成13年1月１日,人口総数／平成12年２月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12131187,12129183,12037149,2004,0.02,94038,0.78
1,13100,区部,8225338,8223608,8160779,1730,0.02,64559,0.79
1,13200,市部,3812736,3812399,3783064,337,0.01,29672,0.78
1,13300,郡部,61464,61494,61404,-30,-0.05,60,0.1
1,13350,島部,31649,31682,31902,-33,-0.1,-253,-0.79
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年２月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
