階層コード,地域コード,地域,人口総数／平成13年10月１日,人口総数／平成13年９月１日,人口総数／平成12年10月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12222490,12218804,12115014,3686,0.03,107476,0.89
1,13100,区部,8290511,8287767,8215125,2744,0.03,75386,0.92
1,13200,市部,3839284,3838286,3806627,998,0.03,32657,0.86
1,13300,郡部,61431,61441,61516,-10,-0.02,-85,-0.14
1,13350,島部,31264,31310,31746,-46,-0.15,-482,-1.52
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年10月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
