階層コード,地域コード,地域,人口総数／平成13年３月１日,人口総数／平成13年２月１日,人口総数／平成12年３月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12130014,12131187,12034829,-1173,-0.01,95185,0.79
1,13100,区部,8225534,8225338,8159611,196,0,65923,0.81
1,13200,市部,3811469,3812736,3781961,-1267,-0.03,29508,0.78
1,13300,郡部,61461,61464,61344,-3,0,117,0.19
1,13350,島部,31550,31649,31913,-99,-0.31,-363,-1.14
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年３月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
