階層コード,地域コード,地域,人口総数／平成13年４月１日,人口総数／平成13年３月１日,人口総数／平成12年４月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12129381,12130014,12032923,-633,-0.01,96458,0.8
1,13100,区部,8229254,8225534,8161679,3720,0.05,67575,0.83
1,13200,市部,3807644,3811469,3778618,-3825,-0.1,29026,0.77
1,13300,郡部,61379,61461,61221,-82,-0.13,158,0.26
1,13350,島部,31104,31550,31405,-446,-1.41,-301,-0.96
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年４月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
