階層コード,地域コード,地域,人口総数／平成13年６月１日,人口総数／平成13年５月１日,人口総数／平成12年６月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,12198702,12184008,12098047,14694,0.12,100655,0.83
1,13100,区部,8275539,8265220,8205366,10319,0.12,70173,0.86
1,13200,市部,3830478,3826099,3799614,4379,0.11,30864,0.81
1,13300,郡部,61312,61316,61305,-4,-0.01,7,0.01
1,13350,島部,31373,31373,31762,-,-,-389,-1.22
,,,,,,,,,
住民基本台帳による世帯と人口_平成13年６月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数1:区部・市部・郡部・島部）,,,,,,,,,
