項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,495,-,663,-,899,-,881,-,1088,-,1029,-,899,-,4046,-,1909,-
0,0,0,0,0,調査世帯数,682,-,34,-,47,-,58,-,63,-,75,-,71,-,58,-,276,-,131,-
0,0,0,0,0,世帯人員,2.93,-,3.14,-,3.85,-,3.89,-,3.53,-,3.42,-,2.88,-,2.76,-,2.34,-,2.24,-
0,0,0,0,0,有業人員,1.33,-,1.56,-,1.51,-,1.55,-,1.72,-,1.79,-,1.86,-,1.79,-,0.77,-,0.53,-
0,0,0,0,0,世帯主平均年齢,59.6,-,30.9,-,37.2,-,41.9,-,46.6,-,52,-,57.1,-,62.2,-,75.6,-,81.9,-
2,2,0,0,0,生計支出,329403,-,288489,-,270193,-,359716,-,386145,-,436976,-,447800,-,369358,-,257087,-,226605,-
2,3,0,0,0,消費支出,329403,100,288489,100,270193,100,359716,100,386145,100,436976,100,447800,100,369358,100,257087,100,226605,100
2,4,1,0,0,食料,90659,27.5,70657,24.5,88711,32.8,95317,26.5,101030,26.2,112683,25.8,94762,21.2,100347,27.2,81008,31.5,72627,32.1
2,5,1,1,0,穀類,6734,2,4226,1.5,6353,2.4,6084,1.7,7234,1.9,8205,1.9,6709,1.5,6351,1.7,6834,2.7,6132,2.7
2,6,1,1,1,米類,1915,0.6,994,0.3,1173,0.4,1221,0.3,1762,0.5,2314,0.5,1762,0.4,1594,0.4,2341,0.9,2125,0.9
2,6,1,1,2,パン,2797,0.8,1695,0.6,3112,1.2,2960,0.8,3120,0.8,3330,0.8,2795,0.6,2992,0.8,2587,1,2280,1
2,6,1,1,3,麺類,1581,0.5,1181,0.4,1565,0.6,1419,0.4,1773,0.5,1986,0.5,1669,0.4,1446,0.4,1526,0.6,1330,0.6
2,6,1,1,4,他の穀類,440,0.1,355,0.1,502,0.2,484,0.1,579,0.1,575,0.1,483,0.1,319,0.1,380,0.1,398,0.2
2,5,1,2,0,魚介類,6267,1.9,2983,1,3650,1.4,4743,1.3,4452,1.2,5755,1.3,5519,1.2,7272,2,7937,3.1,7634,3.4
