項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,486,-,640,-,862,-,822,-,1055,-,1025,-,841,-,4269,-,2059,-
0,0,0,0,0,調査世帯数,668,-,31,-,45,-,58,-,57,-,71,-,69,-,53,-,284,-,138,-
0,0,0,0,0,世帯人員,2.92,-,2.94,-,3.81,-,3.76,-,3.58,-,3.49,-,2.98,-,2.76,-,2.37,-,2.27,-
0,0,0,0,0,有業人員,1.33,-,1.5,-,1.57,-,1.49,-,1.66,-,1.9,-,1.91,-,1.8,-,0.8,-,0.51,-
0,0,0,0,0,世帯主平均年齢,60.2,-,31,-,37,-,41.8,-,46.7,-,51.9,-,57.1,-,62.1,-,75.7,-,82.1,-
2,2,0,0,0,生計支出,433058,-,265672,-,241428,-,345837,-,1876160,-,446354,-,351058,-,323219,-,258528,-,243700,-
2,3,0,0,0,消費支出,309968,100,265672,100,241428,100,345837,100,379237,100,446354,100,351058,100,323219,100,258528,100,243700,100
2,4,1,0,0,食料,89045,28.7,58941,22.2,76875,31.8,91491,26.5,96418,25.4,111749,25,90701,25.8,109374,33.8,82372,31.9,75849,31.1
2,5,1,1,0,穀類,6938,2.2,4492,1.7,6956,2.9,6675,1.9,7125,1.9,8746,2,6867,2,7550,2.3,6680,2.6,6151,2.5
2,6,1,1,1,米類,1997,0.6,978,0.4,1692,0.7,1382,0.4,1357,0.4,2867,0.6,1737,0.5,2251,0.7,2204,0.9,2233,0.9
2,6,1,1,2,パン,2874,0.9,1815,0.7,3066,1.3,3039,0.9,3497,0.9,3299,0.7,3030,0.9,3080,1,2630,1,2452,1
2,6,1,1,3,麺類,1602,0.5,1172,0.4,1532,0.6,1533,0.4,1741,0.5,2081,0.5,1591,0.5,1870,0.6,1479,0.6,1187,0.5
2,6,1,1,4,他の穀類,465,0.2,527,0.2,665,0.3,722,0.2,530,0.1,499,0.1,509,0.1,349,0.1,367,0.1,278,0.1
2,5,1,2,0,魚介類,6704,2.2,2555,1,3806,1.6,5040,1.5,5542,1.5,6430,1.4,6181,1.8,8249,2.6,8060,3.1,7588,3.1
2,6,1,2,1,生鮮魚介,4113,1.3,1392,0.5,2422,1,2843,0.8,3375,0.9,4173,0.9,3662,1,5229,1.6,4949,1.9,4400,1.8
2,6,1,2,2,塩干魚介,1070,0.3,684,0.3,553,0.2,995,0.3,764,0.2,781,0.2,928,0.3,1218,0.4,1343,0.5,1414,0.6
2,6,1,2,3,魚肉練製品,547,0.2,202,0.1,276,0.1,344,0.1,646,0.2,437,0.1,568,0.2,695,0.2,642,0.2,635,0.3
2,6,1,2,4,他の魚介加工品,974,0.3,278,0.1,555,0.2,857,0.2,758,0.2,1039,0.2,1023,0.3,1107,0.3,1126,0.4,1138,0.5
2,5,1,3,0,肉類,8991,2.9,5833,2.2,6751,2.8,9213,2.7,11137,2.9,13143,2.9,9855,2.8,11003,3.4,7600,2.9,6303,2.6
2,6,1,3,1,生鮮肉,7354,2.4,4694,1.8,5270,2.2,7389,2.1,9454,2.5,11046,2.5,8013,2.3,9174,2.8,6130,2.4,5035,2.1
2,6,1,3,2,加工肉,1637,0.5,1139,0.4,1481,0.6,1824,0.5,1683,0.4,2096,0.5,1842,0.5,1830,0.6,1470,0.6,1269,0.5
2,5,1,4,0,乳卵類,4623,1.5,3075,1.2,4526,1.9,4692,1.4,4206,1.1,5340,1.2,4786,1.4,4634,1.4,4661,1.8,4629,1.9
2,6,1,4,1,牛乳,1471,0.5,750,0.3,1634,0.7,1625,0.5,1325,0.3,1740,0.4,1288,0.4,1313,0.4,1535,0.6,1735,0.7
2,6,1,4,2,乳製品,2285,0.7,1784,0.7,2143,0.9,2239,0.6,1964,0.5,2645,0.6,2606,0.7,2225,0.7,2280,0.9,2124,0.9
2,6,1,4,3,卵,867,0.3,541,0.2,750,0.3,828,0.2,917,0.2,955,0.2,893,0.3,1095,0.3,846,0.3,770,0.3
2,5,1,5,0,野菜・海藻,11267,3.6,6099,2.3,7209,3,9390,2.7,9125,2.4,11191,2.5,10264,2.9,13379,4.1,13100,5.1,12905,5.3
2,6,1,5,1,生鮮野菜,8035,2.6,4257,1.6,5106,2.1,6602,1.9,6564,1.7,8072,1.8,7542,2.1,9960,3.1,9209,3.6,8900,3.7
2,6,1,5,2,乾物・海藻,792,0.3,460,0.2,517,0.2,968,0.3,647,0.2,669,0.1,569,0.2,638,0.2,978,0.4,1053,0.4
2,6,1,5,3,大豆加工品,1158,0.4,740,0.3,748,0.3,1031,0.3,947,0.2,1155,0.3,1040,0.3,1348,0.4,1325,0.5,1231,0.5
2,6,1,5,4,他の野菜・海藻加工品,1281,0.4,642,0.2,839,0.3,789,0.2,966,0.3,1294,0.3,1113,0.3,1434,0.4,1588,0.6,1721,0.7
2,5,1,6,0,果物,4207,1.4,1425,0.5,2047,0.8,3020,0.9,2515,0.7,3553,0.8,3595,1,4945,1.5,5576,2.2,6368,2.6
2,6,1,6,1,生鮮果物,3845,1.2,1188,0.4,1890,0.8,2703,0.8,2204,0.6,3254,0.7,2966,0.8,4627,1.4,5191,2,5968,2.4
2,6,1,6,2,果物加工品,362,0.1,237,0.1,157,0.1,317,0.1,311,0.1,299,0.1,629,0.2,318,0.1,385,0.1,400,0.2
2,5,1,7,0,油脂・調味料,4205,1.4,2921,1.1,3108,1.3,3515,1,4264,1.1,5286,1.2,4307,1.2,4853,1.5,4224,1.6,4205,1.7
2,6,1,7,1,油脂,536,0.2,222,0.1,341,0.1,361,0.1,526,0.1,881,0.2,523,0.1,500,0.2,564,0.2,567,0.2
2,6,1,7,2,調味料,3668,1.2,2699,1,2768,1.1,3155,0.9,3738,1,4405,1,3784,1.1,4353,1.3,3659,1.4,3638,1.5
2,5,1,8,0,菓子類,6689,2.2,4746,1.8,8197,3.4,7710,2.2,8739,2.3,8723,2,7067,2,7223,2.2,5385,2.1,4489,1.8
2,5,1,9,0,調理食品,14127,4.6,9420,3.5,14103,5.8,15350,4.4,18644,4.9,14564,3.3,14442,4.1,15781,4.9,13041,5,11979,4.9
2,6,1,9,1,主食的調理食品,5819,1.9,4201,1.6,6470,2.7,5382,1.6,6600,1.7,6475,1.5,5955,1.7,6344,2,5546,2.1,4971,2
2,6,1,9,2,他の調理食品,8308,2.7,5219,2,7633,3.2,9968,2.9,12044,3.2,8089,1.8,8487,2.4,9437,2.9,7495,2.9,7008,2.9
2,5,1,10,0,飲料,5575,1.8,3988,1.5,5091,2.1,6255,1.8,5657,1.5,7409,1.7,6218,1.8,6863,2.1,4814,1.9,4509,1.9
2,6,1,10,1,茶類,1149,0.4,674,0.3,803,0.3,1023,0.3,1019,0.3,1228,0.3,1192,0.3,1994,0.6,1110,0.4,1089,0.4
2,6,1,10,2,コーヒー・ココア,1159,0.4,747,0.3,1160,0.5,1425,0.4,1034,0.3,1865,0.4,1236,0.4,935,0.3,1026,0.4,856,0.4
2,6,1,10,3,他の飲料,3267,1.1,2567,1,3128,1.3,3807,1.1,3604,1,4316,1,3789,1.1,3934,1.2,2677,1,2563,1.1
2,5,1,11,0,酒類,4800,1.5,1422,0.5,2089,0.9,3608,1,4366,1.2,8710,2,5258,1.5,8571,2.7,4097,1.6,2756,1.1
2,5,1,12,0,外食,10918,3.5,12966,4.9,12991,5.4,17023,4.9,15097,4,18655,4.2,11861,3.4,16323,5.1,5134,2,3966,1.6
