項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,669,-,-,91,-,96,-,95,-,101,-,99,-,96,-,91,-
0,0,0,0,0,世帯人員,2.86,-,-,2.52,-,2.8,-,2.83,-,2.9,-,2.86,-,2.99,-,3.14,-
0,0,0,0,0,有業人員,1.35,-,-,1.1,-,1.25,-,1.37,-,1.35,-,1.27,-,1.56,-,1.54,-
0,0,0,0,0,世帯主平均年齢,59.4,-,-,63.3,-,60.5,-,60.8,-,58.5,-,59.6,-,58.1,-,55.1,-
2,2,0,0,0,生計支出,362708,-,14.3,107026,-,178360,-,228294,-,278591,-,348484,-,453130,-,942032,-
2,3,0,0,0,消費支出,362708,100,14.3,107026,100,178360,100,228294,100,278591,100,348484,100,453130,100,942032,100
2,4,1,0,0,食料,91192,25.1,0.8,54059,50.5,66857,37.5,80915,35.4,88935,31.9,97583,28,117287,25.9,132437,14.1
2,5,1,1,0,穀類,7113,2,-14.3,5270,4.9,6071,3.4,6739,3,7431,2.7,7993,2.3,8184,1.8,8090,0.9
2,6,1,1,1,米類,1862,0.5,-27.3,1368,1.3,1922,1.1,1818,0.8,2084,0.7,2336,0.7,1634,0.4,1866,0.2
2,6,1,1,2,パン,3114,0.9,-1.4,2143,2,2437,1.4,2872,1.3,3266,1.2,3313,1,3936,0.9,3829,0.4
2,6,1,1,3,麺類,1628,0.4,-18,1300,1.2,1320,0.7,1650,0.7,1593,0.6,1749,0.5,1854,0.4,1929,0.2
2,6,1,1,4,他の穀類,508,0.1,-14.5,459,0.4,392,0.2,400,0.2,488,0.2,595,0.2,760,0.2,466,0
2,5,1,2,0,魚介類,6707,1.8,-1.6,4861,4.5,5263,3,6906,3,6546,2.3,7011,2,7879,1.7,8470,0.9
2,6,1,2,1,生鮮魚介,4148,1.1,4,2929,2.7,3070,1.7,4529,2,4082,1.5,4300,1.2,4730,1,5384,0.6
2,6,1,2,2,塩干魚介,1066,0.3,-11.5,759,0.7,952,0.5,1066,0.5,1041,0.4,992,0.3,1246,0.3,1403,0.1
2,6,1,2,3,魚肉練製品,532,0.1,-10.1,532,0.5,466,0.3,558,0.2,568,0.2,540,0.2,565,0.1,495,0.1
2,6,1,2,4,他の魚介加工品,961,0.3,-7,640,0.6,775,0.4,752,0.3,855,0.3,1179,0.3,1338,0.3,1188,0.1
