実数・増減率,年次・四半期・月次コード,年次・四半期・月次,調査世帯数(世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／諸雑費（円）,生計支出／土地家屋購入（円）
Jissu,nen,実数_平成29年平均,728,2.94,1.28,60.2,330949,327903,85446,23960,21024,12153,14135,15518,36746,19626,37292,62002,25956,3046
Jissu,nen,実数_平成30年平均,717,2.92,1.34,59.7,323328,322314,86107,23945,21383,10722,13654,16097,35656,20417,36071,58264,25614,1013
Jissu,nen,実数_平成31年・令和元年平均,703,2.92,1.31,60.8,330278,326563,87921,23613,21274,12296,14047,16717,36545,19284,37513,57353,25810,3716
Jissu,nen,実数_令和 2年平均,689,2.94,1.32,59.4,331138,319428,90238,27590,21508,13578,11365,17767,34165,19167,31569,52480,24795,11710
Jissu,sihan,実数_令和 2年 1～ 3月,690,2.95,1.33,59.7,335091,314876,86978,26146,25454,11638,11930,17429,32084,15108,32274,55834,26464,20216
Jissu,sihan,実数_令和 2年 4～ 6月,681,2.93,1.3,59.5,292879,292879,85733,25716,22481,13278,9055,15112,33173,21896,24559,41878,19840,-
Jissu,sihan,実数_令和 2年 7～ 9月,691,2.96,1.31,59.5,314536,314536,90890,27543,18488,15347,10257,20321,30453,16523,32688,52025,25083,-
Jissu,sihan,実数_令和 2年10～12月,693,2.92,1.34,58.9,382044,355419,97351,30955,19610,14048,14219,18206,40951,23139,36756,60183,27795,26624
Jissu,sihan,実数_令和 3年 1～ 3月,690,2.88,1.36,59.2,329528,318505,87318,26576,24534,13109,11020,17913,33750,17082,30163,57040,25750,11023
Jissu,tuki,実数_令和 2年 3月,685,2.95,1.33,59.6,317395,317395,90441,29693,26282,11721,10659,17552,29946,15104,30885,55112,28526,-
Jissu,tuki,実数_令和 2年 4月,700,2.92,1.31,59.9,298410,298410,82547,25961,25573,9083,5948,15692,30138,42028,23311,38130,18186,-
Jissu,tuki,実数_令和 2年 5月,657,2.91,1.3,59.3,272875,272875,87384,22461,20994,13179,7780,13383,31962,12573,24229,38933,18791,-
Jissu,tuki,実数_令和 2年 6月,686,2.95,1.29,59.2,307353,307353,87268,28725,20877,17572,13437,16260,37420,11087,26137,48571,22542,-
Jissu,tuki,実数_令和 2年 7月,697,2.95,1.31,59.6,317065,317065,89164,33461,17570,16168,10796,22357,26719,14291,31912,54629,24837,-
Jissu,tuki,実数_令和 2年 8月,701,2.97,1.31,59.5,312318,312318,93894,25319,19434,15948,9339,22221,29837,8953,34452,52919,26010,-
Jissu,tuki,実数_令和 2年 9月,676,2.96,1.32,59.3,314224,314224,89611,23850,18460,13926,10637,16386,34803,26324,31701,48527,24403,-
Jissu,tuki,実数_令和 2年10月,688,2.97,1.34,58.8,370797,357262,92973,32675,20396,11305,14280,19402,41311,33982,36969,53968,27588,13535
Jissu,tuki,実数_令和 2年11月,701,2.92,1.33,59,399089,336732,91283,34104,18820,14062,14229,18242,41377,17146,33742,53728,24445,62357
Jissu,tuki,実数_令和 2年12月,690,2.88,1.35,59,376245,372264,107797,26086,19615,16777,14149,16974,40166,18289,39557,72854,31352,3981
Jissu,tuki,実数_令和 3年 1月,702,2.89,1.35,59.1,328864,295796,85833,21989,22723,13946,10267,18299,26586,13031,29093,54028,24319,33068
Jissu,tuki,実数_令和 3年 2月,699,2.89,1.37,59,297012,297012,84929,29584,24930,10424,9764,14950,28506,18694,27126,48106,22016,-
Jissu,tuki,実数_令和 3年 3月,669,2.86,1.35,59.4,362708,362708,91192,28155,25949,14958,13028,20490,46158,19522,34271,68985,30914,-
meimoku,nen,対前年（同期・同月）名目増加率_平成29年平均,-,-,-,-,2.9,2.3,1,-3,2.2,8.3,-2.5,3.1,9.9,-1.6,2.6,3,-0.3,170
meimoku,nen,対前年（同期・同月）名目増加率_平成30年平均,-,-,-,-,-2.3,-1.7,0.8,-0.1,1.7,-11.8,-3.4,3.7,-3,4,-3.3,-6,-1.3,-66.7
meimoku,nen,対前年（同期・同月）名目増加率_平成31年・令和元年平均,-,-,-,-,2.1,1.3,2.1,-1.4,-0.5,14.7,2.9,3.9,2.5,-5.5,4,-1.6,0.8,266.8
meimoku,nen,対前年（同期・同月）名目増加率_令和 2年平均,-,-,-,-,0.3,-2.2,2.6,16.8,1.1,10.4,-19.1,6.3,-6.5,-0.6,-15.8,-8.5,-3.9,215.1
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 1～ 3月,-,-,-,-,7.6,1.4,5.9,41.2,-4,10.1,-10.3,14.5,-8.4,-14.8,-6.6,-2.3,9.2,...
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 4～ 6月,-,-,-,-,-15.2,-11.6,-1.2,14.5,3.8,22.4,-37,-9.5,-16,-10.7,-32.7,-27.6,-24.3,-100
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年 7～ 9月,-,-,-,-,-6,-6,1.7,3.2,3.1,3.7,-18.4,17.9,-21.8,-11.7,-17.7,-11.5,-6.6,-
meimoku,sihan,対前年（同期・同月）名目増加率_令和 2年10～12月,-,-,-,-,15.9,7.8,4.2,15.5,3.2,8.4,-10.8,2.8,25,43.1,-6.5,8.1,7.1,...
meimoku,sihan,対前年（同期・同月）名目増加率_令和 3年 1～ 3月,-,-,-,-,-1.7,1.2,0.4,1.6,-3.6,12.6,-7.6,2.8,5.2,13.1,-6.5,2.2,-2.7,-45.5
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 3月,-,-,-,-,-2.1,-1.5,4,79.5,-0.4,9.7,-28.2,3.1,-8.9,-29.3,-18.8,-4.2,15.7,-100
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 4月,-,-,-,-,-19.1,-8.8,-2.7,26.7,6.9,-13,-57.6,6.2,-9.9,27.6,-34.1,-33,-20.6,-100
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 5月,-,-,-,-,-21.9,-21.9,-1.6,-8.8,-4.1,16.5,-47.5,-17.1,-33,-57.5,-36,-31.2,-32.3,-
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 6月,-,-,-,-,-3.3,-3,0.7,29,8.9,62.7,-5.9,-15.2,0.3,0.8,-27.9,-19,-19.2,-100
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 7月,-,-,-,-,-6.9,-6.9,-0.4,24.4,3.7,16.2,-21.2,21.3,-37.4,-1.8,-22.7,-12.8,-9.2,-
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 8月,-,-,-,-,-4.4,-4.4,2.3,8.9,5.3,21.3,-24.8,38.2,-16.2,-41.2,-16.8,-11,0.2,-
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年 9月,-,-,-,-,-6.7,-6.7,3.1,-20.2,0.4,-19.7,-8.4,-4.8,-9.6,-0.2,-13,-10.5,-10.6,-
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年10月,-,-,-,-,20.3,15.9,6.7,78.9,12.9,-9.7,-3.8,26.5,30.3,52.2,6.1,1.4,4.5,...
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年11月,-,-,-,-,24,4.6,3.8,-3.7,2,15.9,-16.6,4,36.9,38.1,-14.4,4.7,6.9,...
meimoku,tuki,対前年（同期・同月）名目増加率_令和 2年12月,-,-,-,-,4.8,3.7,2.5,-2.3,-4.2,18,-11.1,-16.1,10.6,32.9,-9.4,16.6,9.8,...
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 1月,-,-,-,-,2.9,-7.4,2.3,13,-3.1,16.7,-30.2,4.8,-21.9,-14.7,-16.1,-16.3,-11.3,...
meimoku,tuki,対前年（同期・同月）名目増加率_令和 3年 2月,-,-,-,-,-19.4,-3.5,-1.9,1,-6.4,-7.2,-6.2,-13.5,-11.7,25.1,-13.3,0.6,-6.1,-100
