項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3500,-,4792,-,1107,-,71,-,601,-,3236,-
0,0,0,0,0,調査世帯数,665,-,235,-,319,-,68,-,4,-,43,-,217,-
0,0,0,0,0,世帯人員,2.88,-,2,-,3.67,-,2.19,-,3,-,3.04,-,3.42,-
0,0,0,0,0,有業人員,1.32,-,0.72,-,1.77,-,1.26,-,0.85,-,1.39,-,2.26,-
0,0,0,0,0,世帯主平均年齢,60.4,-,69.5,-,51.9,-,68.6,-,40,-,59.1,-,51.7,-
2,2,0,0,0,生計支出,393503,-,328743,-,460684,-,289784,-,403310,-,426037,-,488720,-
2,3,0,0,0,消費支出,373357,100,328743,100,418640,100,289784,100,403310,100,426037,100,426458,100
2,4,1,0,0,食料,110310,29.5,102785,31.3,119488,28.5,90637,31.3,120088,29.8,117185,27.5,124287,29.1
2,5,1,1,0,穀類,7661,2.1,6783,2.1,8678,2.1,6252,2.2,7344,1.8,7256,1.7,8145,1.9
2,6,1,1,1,米類,1412,0.4,1133,0.3,1697,0.4,1121,0.4,1272,0.3,1308,0.3,1457,0.3
2,6,1,1,2,パン,3028,0.8,2536,0.8,3589,0.9,2339,0.8,2272,0.6,2686,0.6,3302,0.8
2,6,1,1,3,麺類,1890,0.5,1606,0.5,2189,0.5,1474,0.5,2136,0.5,1925,0.5,2079,0.5
2,6,1,1,4,他の穀類,1330,0.4,1508,0.5,1202,0.3,1319,0.5,1664,0.4,1337,0.3,1307,0.3
2,5,1,2,0,魚介類,11144,3,12798,3.9,10322,2.5,9512,3.3,10218,2.5,11056,2.6,10412,2.4
2,6,1,2,1,生鮮魚介,6042,1.6,6916,2.1,5714,1.4,4801,1.7,6810,1.7,5847,1.4,5828,1.4
2,6,1,2,2,塩干魚介,1516,0.4,1782,0.5,1339,0.3,1336,0.5,1004,0.2,1701,0.4,1379,0.3
2,6,1,2,3,魚肉練製品,1750,0.5,1968,0.6,1570,0.4,1682,0.6,1427,0.4,2046,0.5,1420,0.3
